,,,RENSEIGNMENTS SUR L'EMPLACEMENT,,,RENSEIGNMENTS SUR LA STRUCTURE,,,,,,,,,,,RENSEIGNMENTS ADMINISTRATIVES,,,,RENSEIGNMENTS DE L'INSPECTION (IEP = Indice de l'état du pont),,,,,,,,,,,,,,,,,,,
 2 - 427/C,CULVERT,,6,44.65808068,-81.13502232,Culvert,Open Culvert,Open Footing (Non-Rigid Frame),Reinforced Cast-In-Place Concrete,1965,2015,,1,Total=3.1;  (1)=3.1;,39.4,,West,,Open to traffic,Provincial,08/30/2017,74.7,74.7,,75,,68.9,,68.9,,70.2,,70.2,71.3,39.3,,40.3,,73.4,
 2 - 428/C,CULVERT - CLAVERING CREEK,,6,44.67625432,-81.13631613,Culvert,Closed Culvert,Box Culvert (Rigid Frame),Reinforced Cast-In-Place Concrete,1965,2015,,1,Total=3.55  (1)=3.55;,25.4,,West,,Open to traffic,Provincial,08/30/2017,70.9,70.9,,70.9,,71.3,,71.7,,74.4,,74.6,74.6,76.7,,76.7,,78.2,
 2 - 429/C,CULVERT,,6,44.6822549,-81.13672022,Culvert,Open Culvert,Open Footing (Non-Rigid Frame),Reinforced Cast-In-Place Concrete,1965,2015,,1,Total=3.7;  (1)=3.7;,22.3,,West,,Open to traffic,Provincial,08/30/2017,74.6,74.6,,74.7,,71.3,,71.4,,73.4,,69.6,69.6,68.6,,68.6,,69.5,
 2 - 430/C,CULVERT,,6,44.68587843,-81.13696695,Culvert,Open Culvert,Open Footing (Non-Rigid Frame),Reinforced Cast-In-Place Concrete,1965,2015,,1,Total=3.05;  (1)=3.05;,25,,West,,Open to traffic,Provincial,08/30/2017,74.4,74.4,,75,,69.3,,69.7,,72.1,,71.6,72.1,75,,75,,96.5,
 2 - 431/C,CULVERT - CLAVERING CREEK,,6,44.69281251,-81.13744649,Culvert,Closed Culvert,Box Culvert (Rigid Frame),Reinforced Cast-In-Place Concrete,1965,2015,,1,Total=4.9;  (1)=4.9;,25.9,,West,,Open to traffic,Provincial,08/30/2017,74.3,74.3,,74.6,,70.6,,70.9,,72.6,,69.9,72.1,74.7,,74.7,,77.5,
 2 - 432/C,CULVERT - CLAVERING CREEK,,6,44.70466339,-81.13827032,Culvert,Closed Culvert,Box Culvert (Rigid Frame),Reinforced Cast-In-Place Concrete,1965,2015,,1,Total=3.05;  (1)=3.05;,22.9,,West,,Open to traffic,Provincial,08/30/2017,72,72,,71.8,,69.6,,70,,72.2,,71.6,72.1,73.6,,73.6,,75,
 2 - 433/C,CULVERT,,6,44.72052489,-81.1393947,Culvert,Open Culvert,Open Footing (Non-Rigid Frame),Reinforced Cast-In-Place Concrete,1965,2015,,1,Total=3.05;  (1)=3.05;,24.3,,West,,Open to traffic,Provincial,08/30/2017,74.2,74.2,,75.1,,70.6,,71,,73.1,,72.2,73.5,73.3,,75,,97.4,
 2 - 434/C,Culvert,,6,44.80454024,-81.20348908,Culvert,Open Culvert,Open Footing (Rigid Frame),Reinforced Cast-In-Place Concrete,1967,2015,,1,Total=4.9;  (1)=4.9;,26.5,,West,,Open to traffic,Provincial,08/30/2017,76.7,76.7,,77.3,,68.7,,69.1,,71.2,,71.2,71.9,72.9,,74.7,,99.1,
 2 - 435/C,Culvert,,6,44.81396722,-81.20856058,Culvert,Open Culvert,Open Footing (Rigid Frame),Reinforced Cast-In-Place Concrete,1969,2015,,1,Total=4.4;  (1)=4.4;,22.7,,West,,Open to traffic,Provincial,08/30/2017,75.1,75.1,,75.1,,68.8,,69.7,,70.2,,70.2,71.2,70.4,,75,,98.7,
 2 - 436/C,Culvert,,6,44.82411717,-81.21396993,Culvert,Open Culvert,Open Footing (Rigid Frame),Reinforced Cast-In-Place Concrete,1969,2015,,1,Total=4.1;  (1)=4.1;,26.8,,West,,Open to traffic,Provincial,08/30/2017,74.9,74.9,,75.7,,67,,67.3,,69.8,,69.8,69.8,72.7,,74.5,,97,
 2 - 437/C,CULVERT,,6,44.86538607,-81.23426058,Culvert,Open Culvert,Open Footing (Rigid Frame),Reinforced Cast-In-Place Concrete,1969,2015,,1,Total=4.3;  (1)=4.3;,26.2,,West,,Open to traffic,Provincial,09/13/2017,74.5,74.5,,75.1,,65.5,,66.2,,68.5,,68.5,69.2,70.7,,73.7,,96.3,
 2 - 438/C,CULVERT - JUDGES CREEK DRAIN,,6,44.89278313,-81.24828152,Culvert,Closed Culvert,Ellipse Culvert,Corrugated Steel,1970,2015,,1,Total=4.2;  (1)=4.2;,47.1,,West,,Open to traffic,Provincial,09/13/2017,84.4,84.4,,85.3,,71.3,,71.6,,71.2,,66.8,71.2,66.3,,66.6,,94,
 2 - 439/C,CULVERT,,6,44.90287922,-81.25320121,Culvert,Open Culvert,Open Footing (Non-Rigid Frame),Reinforced Cast-In-Place Concrete,1970,2015,,1,Total=3.1;  (1)=3.1;,20.9,,West,,Open to traffic,Provincial,09/20/2017,72.8,72.8,,73.6,,67,,68.1,,69.8,,68,69.8,67.1,,75,,97.2,
 2 - 440/C,CULVERT - CUNNINGHAM DRAIN,,6,44.90299711,-81.25343908,Culvert,Open Culvert,Open Footing (Rigid Frame),Reinforced Cast-In-Place Concrete,1970,2015,,1,Total=5.5;  (1)=5.5;,23.9,,West,,Open to traffic,Provincial,09/13/2017,74.6,74.6,,74.8,,68.1,,68.3,,68.7,,67.9,68.6,69.1,,97.8,,96.6,
 2 - 441/C,CULVERT,,6,44.91995967,-81.26181292,Culvert,Closed Culvert,Box Culvert (Rigid Frame),Reinforced Precast Concrete,2009,2009,,1,Total=3  (1)=3.0;,20.8,,West,,Open to traffic,Provincial,09/13/2017,91.6,91.6,,97.7,,100,,100,,66.4,,63.9,63.9,63.8,,70.6,,91.7,
 2 - 442/C,CULVERT - Farm access.,,6,44.92109043,-81.26240337,Culvert,Closed Culvert,Ellipse Culvert,Corrugated Steel,1970,,,1,Total=3.2;  (1)=3.2;,14.7,,West,,Open to traffic,Provincial,09/13/2017,68.2,68.2,,68.6,,68.6,,69,,69,,71,71,75,,75,,97.4,
 2 - 443/C,CULVERT,,6,44.92341688,-81.26375375,Culvert,Closed Culvert,Box Culvert (Rigid Frame),Reinforced Precast Concrete,2009,2009,,1,Total=3.4;  (1)=3.4;,25.3,,West,,Open to traffic,Provincial,09/13/2017,91.9,91.9,,97.7,,100,,100,,,,55.9,59.6,59.6,,72.6,,96.5,
 2 - 444/C,CULVERT - DAWSON-HEWTON MUNICIPAL DRAIN,,6,44.92680011,-81.26547373,Culvert,Open Culvert,Open Footing (Non-Rigid Frame),Reinforced Cast-In-Place Concrete,1970,2015,,1,Total=3.05;  (1)=3.05;,23.8,,West,,Open to traffic,Provincial,09/13/2017,74.1,74.1,,74.7,,71.7,,71.9,,72.7,,71.9,71.5,69.4,,96.6,,96.8,
 2 - 445/C,CULVERT - SLOCUM MUNICIPAL DRAIN,,6,44.93022795,-81.26721439,Culvert,Open Culvert,Open Footing (Rigid Frame),Reinforced Cast-In-Place Concrete,1970,2015,,1,Total=3.05;  (1)=3.05;,25.2,,West,,Open to traffic,Provincial,09/13/2017,73.5,73.5,,74.2,,69.5,,70.6,,71,,70.1,70.1,70.5,,96.5,,94.9,
 2 - 447/C,CULVERT,,6,44.93727501,-81.2708051,Culvert,Closed Culvert,Round Culvert,Corrugated Steel,1970,2015,,1,Total=3.5;  (1)=3.5;,24.5,,West,,Open to traffic,Provincial,09/13/2017,85.6,85.6,,86.6,,60.8,,60.7,,60.6,,57.5,57.5,58,,59.6,,93.8,
 2 - 448/C,CULVERT - PETTIGREW DRAIN,,6,44.94067383,-81.27248951,Culvert,Closed Culvert,Round Culvert,Corrugated Steel,1970,,,1,Total=4.3;  (1)=4.3;,25.8,,West,,Open to traffic,Provincial,09/13/2017,64.7,64.7,,64.7,,65.4,,66,,67.2,,56.5,56.5,56.5,,60.6,,99,
 2 - 449/C,CULVERT - ANGLE MUNICIPAL DRAIN,,6,44.96493052,-81.28408619,Culvert,Closed Culvert,Box Culvert (Rigid Frame),Reinforced Cast-In-Place Concrete,1970,2015,,1,Total=4.3;  (1)=4.3;,25.6,,West,,Open to traffic,Provincial,09/13/2017,74.5,74.5,,75.1,,70.2,,70.5,,72.5,,69.4,71.1,71.5,,74.3,,97.6,
 2 - 450/C,CULVERT - FERN CREEK DRAIN,,6,44.96837633,-81.28581296,Culvert,Closed Culvert,Box Culvert (Rigid Frame),Reinforced Cast-In-Place Concrete,1970,2015,,1,Total=4.9;  (1)=4.9;,25,,West,,Open to traffic,Provincial,09/13/2017,74.7,74.7,,74.8,,71.8,,72.5,,72.8,,73.2,73.7,73.7,,98.8,,98.2,
 2 - 451/C,CULVERT - SWAN LAKE DRAIN,,6,44.99931875,-81.3018167,Culvert,Open Culvert,Open Footing (Rigid Frame),Reinforced Cast-In-Place Concrete,,2015,,1,Total=3.65;  (1)=3.65;,20,,West,,Open to traffic,Provincial,09/13/2017,76.1,76.1,,78.1,,64.2,,64.7,,65.8,,65.9,71.6,67.8,,73.3,,73.8,
 2 - 452/C,Culvert,,6,45.034672,-81.32990357,Culvert,Open Culvert,Open Footing (Non-Rigid Frame),Reinforced Cast-In-Place Concrete,1992,2015,,1,Total=3.658;  (1)=3.658;,32,,West,,Open to traffic,Provincial,09/13/2017,75.6,75.6,,76.3,,68.3,,68.8,,70.2,,70.2,70.8,70.1,,74.1,,97.7,
 2 - 453/C,Culvert,,6,45.03994276,-81.34500238,Culvert,Open Culvert,Open Footing (Non-Rigid Frame),Reinforced Cast-In-Place Concrete,1992,2015,,1,Total=3.658;  (1)=3.658;,26.1,,West,,Open to traffic,Provincial,09/13/2017,75.3,75.3,,76.1,,68.4,,68.7,,69.3,,69.3,70.9,64.4,,90.8,,91,
 2 - 454/C,CULVERT,,6,45.06694685,-81.40929207,Culvert,Open Culvert,Open Footing (Non-Rigid Frame),Reinforced Cast-In-Place Concrete,1992,2015,,1,Total=3.658;  (1)=3.658;,22.7,,West,,Open to traffic,Provincial,09/13/2017,76.5,76.5,,77.3,,66.8,,66.9,,67.2,,67.2,69.3,66.7,,68.1,,88.7,
 2 - 455/C,CULVERT - BRINKMAN CREEK,,6,45.11314672,-81.4405771,Culvert,Open Culvert,Open Footing (Non-Rigid Frame),Reinforced Cast-In-Place Concrete,1955,2015,,1,Total=4.6;  (1)=4.6;,17.3,,West,,Open to traffic,Provincial,09/13/2017,76.1,76.1,,77,,65,,65.5,,67.8,,67.9,68.6,68.2,,71.4,,95.7,
 2 - 456/C,CULVERT - CRANE RIVER,,6,45.14865155,-81.47174813,Culvert,Closed Culvert,Box Culvert (Rigid Frame),Reinforced Cast-In-Place Concrete,1993,2015,,1,Total=6.2;  (1)=6.2;,38.4,,West,,Open to traffic,Provincial,09/13/2017,75,75,,74.9,,67.6,,67.7,,69.6,,71.7,72.9,55.8,,56.4,,86.4,
 2 - 457/C,CULVERT - WILLOW CREEK,,6,45.17383343,-81.51962626,Culvert,Closed Culvert,Box Culvert (Rigid Frame),Reinforced Cast-In-Place Concrete,1992,2015,,1,Total=6.1;  (1)=6.1;,20.2,,West,,Open to traffic,Provincial,09/13/2017,77.8,77.8,,78.2,,65.1,,65.4,,66.4,,67.9,69.4,71.3,,72.7,,97.2,
 2 - 458/C,CULVERT,,6,45.19878441,-81.5676627,Culvert,Open Culvert,Open Footing (Non-Rigid Frame),Reinforced Cast-In-Place Concrete,1992,2015,,1,Total=3.05;  (1)=3.05;,21.6,,West,,Open to traffic,Provincial,09/13/2017,74.8,74.8,,74.7,,54.7,,54.7,,55,,55,59.6,59,,63.6,,92.2,
 2 - 459/C,CULVERT - CAPE HURD ROAD,,6,45.24198993,-81.65109166,Culvert,Open Culvert,Open Footing (Non-Rigid Frame),Reinforced Cast-In-Place Concrete,1992,2015,,1,Total=3.05;  (1)=3.05;,23.1,,West,,Open to traffic,Provincial,09/13/2017,72.3,72.3,,72.7,,62.6,,63.7,,66,,70.2,70.8,69.1,,73.3,,73.8,
 2 - 462/C,CULVERT,,9,44.15615759,-81.56472303,Culvert,Closed Culvert,Box Culvert (Rigid Frame),Reinforced Precast Concrete,2005,,,1,Total=5.75  (1)=5.75;,24.8,,West,,Open to traffic,Provincial,07/13/2017,85.4,85.4,,95.5,,96,,97.2,,99.9,,99.9,99.9,100,,58.5,,58.8,
 2 - 463/C,CULVERT - PENETANGORE RIVER,,9,44.13448112,-81.5120767,Culvert,Open Culvert,Open Footing (Non-Rigid Frame),Reinforced Cast-In-Place Concrete,1993,,2017,1,Total=5.3;  (1)=5.3;,27.3,,West,,Open to traffic,Provincial,07/13/2017,49.4,49.4,,49.5,,51.5,,52.8,,56.2,,56.2,60.5,60.3,,65.5,,65.7,
 2 - 464/C,CULVERT - PENETANGORE RIVER,,9,44.12880342,-81.49777699,Culvert,Open Culvert,Open Footing (Rigid Frame),Reinforced Cast-In-Place Concrete,1970,,,1,Total=4.4;  (1)=4.4;,35.9,,West,,Open to traffic,Provincial,07/13/2017,71.6,71.6,,72,,72.2,,72.7,,73.4,,73.3,74,73.8,,73.8,,74.1,
 2 - 466/C,CULVERT - OTTER CREEK,,9,44.02875074,-81.09322373,Culvert,Open Culvert,Open Footing (Non-Rigid Frame),Reinforced Cast-In-Place Concrete,1930,2001,,1,Total=5;  (1)=5;,19.3,,West,,Open to traffic,Provincial,07/18/2017,60.3,60.3,,61.3,,64.5,,67.5,,70.3,,70.2,71.2,72.4,,72.4,,75.7,
 2 - 467/C,CULVERT - OTTER CREEK,,9,44.02112884,-81.07869028,Culvert,Open Culvert,Open Footing (Rigid Frame),Reinforced Cast-In-Place Concrete,2001,,,1,Total=5;  (1)=5;,18.8,,West,,Open to traffic,Provincial,07/18/2017,84.1,84.1,,97,,98.2,,99.9,,99.9,,100,100,100,,100,,99.7,
 2 - 469/C,CULVERT - CARRICK CREEK,,9,44.00627118,-81.05007468,Culvert,Open Culvert,Open Footing (Rigid Frame),Reinforced Cast-In-Place Concrete,2001,,,1,Total=3.7  (1)=3.7;,19.3,,West,,Open to traffic,Provincial,07/18/2017,83.2,83.2,,97.7,,98.6,,99.2,,99.5,,99.5,99.5,99.2,,100,,100,
 2 - 470/C,CULVERT MCMURCHIE MUNICIPAL DRAIN,,21,44.08269059,-81.68633666,Culvert,Closed Culvert,Box Culvert (Rigid Frame),Reinforced Cast-In-Place Concrete,1997,,,1,Total=3.55  (1)=3.55;,21.4,,West,,Open to traffic,Provincial,07/13/2017,73.8,73.8,,73.4,,74.3,,74.1,,74.9,,91.3,99.7,100,,100,,100,
 2 - 471/C,CULVERT,,21,44.19179225,-81.60201282,Culvert,Closed Culvert,Box Culvert (Non-Rigid Frame),Reinforced Cast-In-Place Concrete,1930,,2011,1,Total=3.6;  (1)=3.6;,37.5,,West,,Open to traffic,Provincial,07/13/2017,73.5,73.5,,73.8,,74.3,,75,,63.3,,63.3,63.8,72.1,,70.7,,70.4,
 2 - 472/C,CULVERT,,21,44.22999701,-81.57265042,Culvert,Closed Culvert,Box Culvert (Rigid Frame),Reinforced Precast Concrete,2011,2011,,1,Total=3.6  (1)=3.6;,31.2,,West,,Open to traffic,Provincial,07/13/2017,93.9,93.9,,99,,100,,54.3,,54.3,,58.4,58.9,59.5,,63.5,,65.1,
 2 - 473/C,CULVERT,,21,44.23432042,-81.569321,Culvert,Closed Culvert,Box Culvert (Rigid Frame),Reinforced Precast Concrete,2011,2011,,1,Total=3.6;  (1)=3.6;,35,,West,,Open to traffic,Provincial,07/13/2017,93.4,93.4,,99.1,,100,,47.6,,47.6,,58.2,61.9,62.7,,67.3,,68.1,
 2 - 474/C,CULVERT,,21,44.23826959,-81.56626068,Culvert,Closed Culvert,Box Culvert (Rigid Frame),Reinforced Precast Concrete,2011,2011,,1,Total=3.6;  (1)=3.6;,31.2,,West,,Open to traffic,Provincial,07/13/2017,93.5,93.5,,99,,100,,58.2,,58.2,,61,62.4,63.3,,70.5,,71,
 2 - 475/C,CULVERT ANDREWS CREEK,,21,44.25289459,-81.55492627,Culvert,Closed Culvert,Round Culvert,Corrugated Steel,1977,,2011,1,Total=3.5;  (1)=3.5;,45.4,,West,,Open to traffic,Provincial,07/13/2017,75,75,,75.1,,75.2,,71.6,,71.6,,68.1,68.1,68.1,,71.5,,97.3,
 2 - 476/C,CULVERT,,21,44.26175663,-81.54805873,Culvert,Closed Culvert,Ellipse Culvert,Steel,1930,,2011,1,Total=3.7;  (1)=3.7;,41.1,,West,,Open to traffic,Provincial,07/13/2017,74.6,74.6,,76.1,,76.6,,62,,62,,66.2,67.3,68.1,,73.2,,73.3,
 2 - 478/C,CULVERT,,21,44.28978495,-81.49707532,Culvert,Open Culvert,Open Footing (Rigid Frame),Reinforced Cast-In-Place Concrete,1930,,2011,1,Total=3.8;  (1)=3.8;,43.3,,West,,Open to traffic,Provincial,07/13/2017,73.3,73.3,,73.6,,74.4,,70.4,,70.4,,71.2,72.7,72.7,,74.2,,74.3,
 2 - 480/C,CULVERT,,21,44.54060614,-81.13362608,Culvert,Open Culvert,Open Footing (Non-Rigid Frame),Reinforced Cast-In-Place Concrete,1970,,,1,Total=3.7;  (1)=3.7;,26.9,,West,,Open to traffic,Provincial,08/30/2017,63.1,63.1,,64.1,,64.4,,64.4,,68.9,,69.7,70.4,71.8,,71.8,,70.9,
 2 - 496/C,Bervie Culvert,,9,44.116812,-81.467577,Culvert,Closed Culvert,Box Culvert (Rigid Frame),Reinforced Precast Concrete,2015,2015,,1,Total=4.5  (1)=4.5;,30,,West,,Open to traffic,Provincial,09/15/2017,97.7,97.7,100,,,,,,,,,,,,,,,,
 2 - 497/,Crane River Park Bridge,,6,45.150437,-81.470253,Bridge,Beam/Girder,Rolled I Beam,Steel,1956,,1983,1,Total=8.6  (1)=8.6;,8.6,4.3,West,,Open to traffic,Provincial,07/18/2017,66.4,66.4,,66.4,66.3,,,,,,,,,,,,,,
 3 -   3/,MISSISSIPPI RIVER BRIDGE,PONT MISSISSIPPI RIVER ,17,45.387839,-76.255828,Bridge,Truss,Through Truss,Steel,1954,1981,2013,3,Total=100  (1)=23;(2)=54;(3)=23;,101.7,10.97,Eastern,CARLETON,Open to traffic,Provincial,10/19/2017,46.1,46.1,,46.7,,47.6,,52,,66.5,,64,,68.2,,68.3,,63,
 3 -  39/1,RICHMOND ROAD UNDERPASS   (NBL),RICHMOND ROAD PASSAGE INFÉRIEUR (VDN) ,417,45.345389,-75.805753,Bridge,Beam/Girder,Plate I Girder,Steel,1961,1987,2016,2,Total=70  (1)=35;(2)=35;,70.1,16.5,Eastern,CARLETON,Open to traffic,Provincial,09/14/2017,73.6,73.6,,73.5,,72.9,,73.1,,73.3,,73.6,,73.5,,,,93.5,
 3 -  39/2,RICHMOND ROAD UNDERPASS   (SBL),RICHMOND ROAD PASSAGE INFÉRIEUR (VDO) ,417,45.345547,-75.805653,Bridge,Beam/Girder,Plate I Girder,Steel,1967,1989,2016,2,Total=70  (1)=35;(2)=35;,70.1,15.1,Eastern,CARLETON,Open to traffic,Provincial,09/14/2017,73.3,73.3,,73.5,,73.5,,72.4,,72.7,,73,,73.2,,,,92.9,
 3 -  40/,PINECREST AVENUE/O.Q.W.........,PINECREST AVENUE/O.Q.W......... ,417,45.349511,-75.789839,Bridge,Beam/Girder,Plate I Girder,Steel,1960,1988,2016,2,Total=64  (1)=32;(2)=32;,64,24.1,Eastern,CARLETON,Open to traffic,Provincial,09/14/2017,71.4,71.4,,70.9,,71.6,,72,,72.1,,72.8,,73.2,,,,93.4,
 3 -  41/,WOODROFFE AVENUE/O.Q.W........,WOODEROFFE AVENUE/O.Q.W........ ,417,45.361147,-75.768292,Bridge,Beam/Girder,Plate I Girder,Steel,1960,1990,2016,2,Total=64  (1)=32;(2)=32;,64,24.1,Eastern,CARLETON,Open to traffic,Provincial,09/14/2017,70.9,70.9,,71,,70.4,,70.5,,70.8,,72.2,,72.4,,,,90.7,
 3 -  42/,MAITLAND AVENUE/OQW------------,MAITLAND AVENUE/OQW-----------­,417,45.370408,-75.754594,Bridge,Beam/Girder,Rolled I Beam,Steel,1960,1999,2016,2,Total=70  (1)=35;(2)=35;,70.1,18.9,Eastern,CARLETON,Open to traffic,Provincial,09/14/2017,71.9,71.9,,72.6,,73.6,,73.9,,75.8,,76.5,,80.3,,,,95.1,
 3 -  43/1,CLYDE AVENUE OPS     (EBL),AVE. CLYDE PASSAGE INFÉRIEUR - VDE,417,45.376072,-75.748319,Bridge,Beam/Girder,Rolled I Beam,Steel,1959,2008,2002,1,Total=22  (1)=22;,22,18,Eastern,CARLETON,Open to traffic,Provincial,08/26/2017,80.2,80.2,,83.6,,85.5,,91.9,,97.9,,56.1,,61.1,,,,57.6,
 3 -  43/2,CLYDE AVENUESWAY          (WBL),AVE. CLYDE PASSAGE INFÉRIEUR - VDO,417,45.376189,-75.7484,Bridge,Beam/Girder,Rolled I Beam,Steel,1959,2008,,1,Total=22  (1)=22;,21.6,20,Eastern,CARLETON,Open to traffic,Provincial,08/26/2017,85.8,85.8,,86.2,,86.6,,92.7,,98,,59,,64,,,,62.9,
 3 -  44/1,CARLING AVENUE............(EBL),CARLING AVENUE............(VDE) ,417,45.381394,-75.742503,Bridge,Beam/Girder,Plate I Girder,Steel,2011,2011,2009,1,Total=20  (1)=20;,22.8,21.03,Eastern,CARLETON,Open to traffic,Provincial,08/26/2017,91.6,91.6,,92.9,,92.7,,61.1,,61.1,,64.1,,63.8,,,,61.1,
 3 -  44/2,CARLING AVENUE............(WBL),CARLING AVENUE............(VDO) ,417,45.381411,-75.742681,Bridge,Beam/Girder,Rolled I Beam,Steel,2011,2010,2009,1,Total=20  (1)=20;,22.8,29.8,Eastern,CARLETON,Open to traffic,Provincial,08/26/2017,93.7,93.7,,94.4,,94.6,,62.4,,62.4,,67.1,,67.3,,,,66.4,
 3 -  45/1,KIRKWOOD AVENUE OVERPASS  (EBL),KIRKWOOD AVENUE PASSAGE SUPÉRIEUR (VDE) ,417,45.383853,-75.7398,Bridge,Beam/Girder,Rolled I Beam,Steel,1959,2013,2003,1,Total=25  (1)=25;,24.1,16,Eastern,CARLETON,Open to traffic,Provincial,08/26/2017,91,91,,94.2,,,,56.8,,57.5,,62.1,,65.5,,,,62.5,
 3 -  45/2,KIRKWOOD AVENUE OVERPASS  (WBL),AVE KIRKWOOD PASSAGE SUPÉRIEUR . VDO,417,45.383989,-75.739883,Bridge,Beam/Girder,Rolled I Beam,Steel,1959,2013,2003,1,Total=24  (1)=24;,24.1,16,Eastern,CARLETON,Open to traffic,Provincial,08/26/2017,88.5,88.5,,87.8,,58.3,,58.3,,60,,61.7,,65.7,,,,66.6,
 3 -  46/1,CARLING AVENUE/O.Q.W......(EBL),CARLING AVENUE/O.Q.W......(VDE) ,417,45.385347,-75.738172,Bridge,Beam/Girder,Rolled I Beam,Steel,1959,2013,2003,1,Total=18  (1)=18;,18.6,19.1,Eastern,CARLETON,Open to traffic,Provincial,10/16/2017,95.8,95.8,,97.2,,,,67.3,,68.8,,69.8,,69.3,,,,73.6,
 3 -  46/2,CARLING AVENUE/O.Q.W......(WBL),CARLING AVENUE/O.Q.W......(VDO) ,417,45.385364,-75.738364,Bridge,Beam/Girder,Plate I Girder,Steel,1960,2013,2003,1,Total=18  (1)=18;,18.6,16,Eastern,CARLETON,Open to traffic,Provincial,10/16/2017,95.3,95.3,,93.4,,,,65.4,,68.8,,69.6,,69.8,,,,73.8,
 3 -  47/1,MERIVALE ROAD OVERPASS    (EBL),MERIVALE ROAD PASSAGE SUPÉRIEUR (VDE) ,417,45.388925,-75.734656,Bridge,Frame,"Rigid Frame, Slab",Reinforced Cast-In-Place Concrete,1960,1983,,1,Total=14  (1)=14;,16,18.1,Eastern,CARLETON,Open to traffic,Provincial,10/16/2017,60.6,60.6,,61.5,,63.3,,63.4,,62,,64.7,,70.4,,,,74.9,
 3 -  47/2,MERIVALE ROAD OVERPASS    (WBL),MERIVALE ROAD PASSAGE SUPÉRIEUR (VDO) ,417,45.388997,-75.734808,Bridge,Frame,"Rigid Frame, Slab",Reinforced Cast-In-Place Concrete,1961,2007,,1,Total=14  (1)=14;,16,18.1,Eastern,CARLETON,Open to traffic,Provincial,10/16/2017,68,68,,67.4,,68,,68.6,,68.4,,70.5,,72,,,,75,
 3 -  48/1,ISLAND PARK DRIVE OPASS   (EBL),ISLAND PARK DRIVE PASSAGE SUPÉRIEUR (VDE) ,417,45.390136,-75.7337,Bridge,Beam/Girder,Rolled I Beam,Steel,1961,2007,,1,Total=25  (1)=25;,24.7,18.1,Eastern,CARLETON,Open to traffic,Provincial,10/16/2017,86.4,86.4,,86.6,,87.3,,85.4,,92,,63.8,,63.8,,,,61.6,
 3 -  48/2,ISLAND PARK DRIVE OPASS   (WBL),ISLAND PARK DRIVE PASSAGE SUPÉRIEUR (VDO) ,417,45.390044,-75.733992,Bridge,Beam/Girder,Rolled I Beam,Steel,1961,2007,,1,Total=25  (1)=25;,24.7,18.2,Eastern,CARLETON,Open to traffic,Provincial,10/16/2017,87.4,87.4,,87.5,,88,,89.9,,96.2,,64.8,,64.8,,,,70.1,
 3 -  50/1,HOLLAND AVENUE/O.Q.W......(EBL),HOLLAND AVENUE/O.Q.W......(VDE) ,417,45.395494,-75.7294,Bridge,Frame,"Rigid Frame, Slab",Reinforced Cast-In-Place Concrete,1961,1984,,1,Total=22  (1)=22;,25,20,Eastern,CARLETON,Open to traffic,Provincial,10/16/2017,62.8,62.8,,63,,65.3,,65.3,,67.4,,68.3,,69.4,,,,72.9,
 3 -  50/2,HOLLAND AVENUE/O.Q.W......(WBL),HOLLAND AVENUE/O.Q.W......(VDO) ,417,45.395647,-75.729492,Bridge,Frame,"Rigid Frame, Slab",Reinforced Cast-In-Place Concrete,1961,1984,,1,Total=22  (1)=22;,25,21.3,Eastern,CARLETON,Open to traffic,Provincial,10/16/2017,59.1,59.1,,56.9,,59,,59.1,,59.1,,69.8,,70.4,,,,72.8,
 3 -  51/1,PARKDALE AVENUE/O.Q.W.....(EBL),PARKDALE AVENUE/O.Q.W.....(VDE) ,417,45.397172,-75.726942,Bridge,Frame,"Rigid Frame, Slab",Reinforced Cast-In-Place Concrete,1961,1984,,1,Total=13  (1)=13;,21.3,19,Eastern,CARLETON,Open to traffic,Provincial,10/16/2017,63.9,63.9,,63.6,,66.9,,69.1,,70,,70.1,,70.6,,,,73.7,
 3 -  51/2,PARKDALE AVENUE/O.Q.W.....(WBL),PARKDALE AVENUE/O.Q.W.....(VDO) ,417,45.397308,-75.727022,Bridge,Frame,"Rigid Frame, Slab",Reinforced Cast-In-Place Concrete,1961,1984,,1,Total=13  (1)=13;,21.3,19,Eastern,CARLETON,Open to traffic,Provincial,10/16/2017,67.4,67.4,,67.3,,67.7,,68.1,,69.4,,70.6,,69.8,,,,74,
 3 -  52/1,FAIRMONT AVENUE/O.Q.W.....(EBL),FAIRMONT AVENUE/O.Q.W.....(VDE) ,417,45.399977,-75.720706,Bridge,Frame,"Rigid Frame, Slab",Reinforced Cast-In-Place Concrete,1961,1984,2014,1,Total=18  (1)=18;,21,19.05,Eastern,CARLETON,Open to traffic,Provincial,10/16/2017,63.8,63.8,,63.5,,62.8,,64.9,,66,,71.5,,72.2,,,,73.8,
 3 -  52/2,FAIRMONT AVENUE/O.Q.W.....(WBL),FAIRMONT AVENUE/O.Q.W.....(VDO) ,417,45.400112,-75.720809,Bridge,Frame,"Rigid Frame, Slab",Reinforced Cast-In-Place Concrete,1961,1984,2014,1,Total=18  (1)=18;,21,19,Eastern,CARLETON,Open to traffic,Provincial,10/16/2017,70.1,70.1,,69.5,,68.7,,69.5,,71.2,,71.3,,71.8,,,,74.3,
