School Name,School Number,OSSD Credits Offered,Principal Name,Suite,PO Box,Street Address,City,Province,Postal Code,Telephone Number,Fax,Region,School Website,School Level,School Special Conditions Code,Program Type,Association Membership
Arrowsmith School,880779,,Barbara Young,,,245 St Clair Ave W,Toronto,Ontario,M4V1R3,416-963-4962,416-963-5017,Toronto and Area Regional Office,http://www.arrowsmithschool.org,Elem/Sec,Not applicable,Site based only,Ontario Federation of Independent Schools
Arrowsmith School Peterborough,668374,,Barbara Young,,,366 Parkhill Road East,Peterborough,Ontario,K9L1C3,705-741-4800,705-741-1832,Barrie Regional Office,www.arrowsmithschool.org,Elem/Sec,Not applicable,Site based only,Ontario Federation of Independent Schools
Arthur Christian School,665378,,,,340,161 Eliza Street,Arthur,Ontario,N0G1A0,519-848-2218,519-848-9830,Toronto and Area Regional Office,,Elem/Sec,Not applicable,Site based only,No
Arts and Science Academy of Canada,667420,Offers credits toward the Ontario Secondary School Diploma (OSSD),Vladimir Demine,,,7 Bradwick Drive,Vaughan,Ontario,L4K2T4,905-707-7580,905-707-7580,Barrie Regional Office,edu.victoriaballet.ca,Elem/Sec,Not applicable,,No
Ashbury College,886297,Offers credits toward the Ontario Secondary School Diploma (OSSD),Norman Southward,,,362 Mariposa Ave,Ottawa,Ontario,K1M0T3,613-749-5954,613-749-9724,Ottawa Regional Office,http://www.ashbury.ca,Elem/Sec,All Year Round,Site based only,Conference of Independent Schools
Ashwood Glen,884822,,,,,3430 Fairview Street,Burlington,Ontario,L7N2R5,,,Toronto and Area Regional Office,,Elementary,Not applicable,,
ASK Online Canada,668910,Offers credits toward the Ontario Secondary School Diploma (OSSD),Sheileen Krone,,,92 Hillview Road,Aurora,Ontario,L4G2M5,416-735-5547,,Barrie Regional Office,www.askonlinecanada.ca,Secondary,All Year Round,Internet based only,No
Aspen Preparatory Academy,881865,Offers credits toward the Ontario Secondary School Diploma (OSSD),Sarika Singh,211,,3024 Hurontario Street,Mississauga,Ontario,L5B4M4,416-668-8745,,Toronto and Area Regional Office,www.aspenprep.ca,Secondary,All Year Round,Site based only,No
Aspiration Academy,881729,,Rachel Lam,"5, 6, 8",,60 Riviera Drive,Markham,Ontario,L3R5M1,905-752-0988,,Barrie Regional Office,www.aspirationanddiscoveries.com,Elementary,Not applicable,,No
Aspire Academy,885039,,,,,"2013 Old Carp Road, Carp",Carp,Ontario,K0A1L0,613-858-9129,,Ottawa Regional Office,,Elementary,Not applicable,,
As-Sadiq Islamic,876798,Offers credits toward the Ontario Secondary School Diploma (OSSD),Mario Boccia,,,9000 Bathurst St,Thornhill,Ontario,L4J8A7,905-695-1588,905-695-1590,Barrie Regional Office,http://www.as-sadiqschool.com,Elem/Sec,Not applicable,Site based only,No
Associated Hebrew Schools of Toronto,887315,,Kevin Knopman,,,252 Finch West Ave,Toronto,Ontario,M2R1M9,416-494-7666,416-494-2925,Barrie Regional Office,www.associatedhebrewschools.com,Elementary,Not applicable,,Centre for Jewish Education
Associated Hebrew Schools of Toronto,889156,,Faye Rewald,,,252 Finch Ave W,Toronto,Ontario,M2R1M9,416-494-7666,416-494-3477,Toronto and Area Regional Office,www.associatedhebrewschools.com,Elementary,Not applicable,Internet/Site Based,Jewish Day School
Astolot Education Centre,666610,Offers credits toward the Ontario Secondary School Diploma (OSSD),Andrew Stewart,203,,1187 Bank St,Ottawa,Ontario,K1S3X7,613-260-5996,,Ottawa Regional Office,http://www.astolot.com/,Elem/Sec,Not applicable,Site based only,Ontario Learning Disabilities Ass.
Astrum Academy,668383,,Nune Derziyan,,,10201 Yonge Street,Richmond Hill,Ontario,L4C3B2,647-505-4635,,Barrie Regional Office,astrum-academy.com,Elementary,Not applicable,,No
At Last Forest School - Owen Sound,669486,,Carlin Val,,,72 2nd Avenue East,Owen Sound,Ontario,N4K5T2,519-373-6951,,Barrie Regional Office,www.atlastforestschools.com,Elementary,Not applicable,,No
At Last Forest School - Port Elgin,665230,,Christine Brown,,,1593 Bruce Road 33,Saugeen Shores,Ontario,N0H2C0,519-379-6383,,Barrie Regional Office,www.atlastforestschools.com,Elementary,Not applicable,,No
At Last Forest School - Saugeen Valley,665503,,Shelby Fritzsch,,,301820 Concession 2 SDR,Hanover,Ontario,N4N3B8,519-377-6509,,Barrie Regional Office,www/atlastforestschools.com,Elementary,Not applicable,Site based only,No
At Last Forest School- Farm School,667474,,Tracy Fidler,,,241063 Concession 3 Kepper 3,Owen Sound,Ontario,N0H1A0,519-379-6383,,Toronto and Area Regional Office,comwww.atlastforestschools.com,Elementary,Not applicable,Site based only,No
At Last Forest School Kincardine,667562,,Christine Brown,,,699 Huron Tarrace,Kincardine,Ontario,N2Z2H3,519-379-6383,,London Regional Office,www.atlastforestschools.com,Elementary,Not applicable,,No
Attercliffe Canadian Reformed Elementary,877212,,Clarence Blokhuis,,,85785 Canborough Rd RR 1,Dunnville,Ontario,N1A2W1,905-774-9009,905-774-3318,Barrie Regional Office,,Elementary,Not applicable,Site based only,No
Aurora Montessori School,884995,Offers credits toward the Ontario Secondary School Diploma (OSSD),Kane Burg,,,330 Industrial Parkway N,Aurora,Ontario,L4G4C3,905-841-0065,905-841-2022,Barrie Regional Office,http://www.auroramontessori.com,Elem/Sec,All Year Round,Site based only,No
Aurora Preparatory Academy,885099,,Rhonda Mills-Vissers,,,81 Industrial Parkway North,Aurora,Ontario,L4G4C4,905-713-1141,,Barrie Regional Office,www.aurora-prep.com,Elementary,Not applicable,,No
Autumn Hill Academy,669532,,Katherine Pasternak,,,9050 Dufferin Street,Concord,Ontario,L4K5M4,905-417-9779,905-417-3260,Barrie Regional Office,autumnhillacademy.ca,Elementary,Not applicable,,MR3295
Avalon Children's Montessori School,666815,,Sherry VanDerKooi,200,,2181 Queen Street East,Toronto,Ontario,M4E1E5,416-686-6621,,Toronto and Area Regional Office,www.avalonmontessori.ca,Elementary,Not applicable,,OFIS
AVRO Academy,667321,Offers credits toward the Ontario Secondary School Diploma (OSSD),David Berger,,,1640A Avenue Road,Toronto,Ontario,M5M3X9,647-352-6060,,Toronto and Area Regional Office,www.avroacademy.com,Secondary,All Year Round,Internet/Site Based,No
Baibombeh Anishinabe School,663581,Offers credits toward the Ontario Secondary School Diploma (OSSD),Michael Leahy,,,1001 Baibombeh Road,Pawitik,Ontario,P0X1L0,807-226-5698,807-226-1089,Thunder Bay Regional Office,,Elem/Sec,First Nation,First Nation,No
Baig Academy,885730,Offers credits toward the Ontario Secondary School Diploma (OSSD),Tanika Blake,,,2370 Dunwin Drive,Mississauga,Ontario,L5L1J9,905-581-1933,,Toronto and Area Regional Office,baigacademy.ca,Secondary,All Year Round,,No
Bais Chaya Mushka,877662,,Yaacov Vidal,,,4375 Chesswood Drive,Toronto,Ontario,M3J2C2,416-398-9532,416-631-1110,Toronto and Area Regional Office,,Elementary,Not applicable,Site based only,No
Bais Chomesh High School for Girls,878774,Offers credits toward the Ontario Secondary School Diploma (OSSD),Rivki Yarmush,,,3600 Bathurst St,Toronto,Ontario,M6A2C9,416-631-0585,416-631-0244,Toronto and Area Regional Office,,Secondary,Not applicable,Site based only,Jewish Board of Education
Bais Yaakov Elementary School,888486,,Esther Scheiner,,,15 Saranac Boulevard,Toronto,Ontario,M6A2G4,416-785-0750,416-785-9769,Toronto and Area Regional Office,,Elementary,Not applicable,Site based only,No
Baitul Mukarram Academy - Boys Section,887583,,ASM ABDUL FATTAH,,,3334 Danforth Avenue,Toronto,Ontario,M1L1C6,416-686-3037,,Toronto and Area Regional Office,www.baitulmukarramtoronto.ca,Elementary,Not applicable,Site based only,No
Balanced Education Network B.E.N. School,887316,,Ilaria Sheikh,,,394 HARVIE AVE,YORK,Ontario,M6E4L8,416-656-2648,416-653-8680,Toronto and Area Regional Office,www.benschoolhouse.com,Elementary,Not applicable,Site based only,No
Ball's Falls Nature School,884896,,,,,"3292- 6th Avenue,Ball's Fall Conservatio",Lincoln,Ontario,L0R1S0,905-788-3135,,Toronto and Area Regional Office,,Elementary,Not applicable,,
Balsam Grove Parochial,887463,,Martha Martin,,,2542 Northfield Drive East 2,Elmira,Ontario,N3B2Z2,,,London Regional Office,,Elementary,Not applicable,Site based only,Waterloo-Wellington-Perth Parochial Schools
Bannockburn School,876135,,Margaret Kahnert,,,12 Bannockburn Ave,Toronto,Ontario,M5M2M8,416-789-7855,416-789-7963,Toronto and Area Regional Office,www.bannockburn.ca,Elementary,Not applicable,,CCMA
Barrie Montessori & Elementary Private S,883576,,Dawn Allen,,,161 HANMER ST W,BARRIE,Ontario,L4N7S1,705-728-0303,705-456-9402,Barrie Regional Office,www.barriemontessori.ca,Elementary,Not applicable,,No
Batchewana Learning Centre,663670,Offers credits toward the Ontario Secondary School Diploma (OSSD),Elaine McDonagh,,,15 Jean Avenue,Sault Ste Marie,Ontario,P6B4B1,705-759-7285,705-759-9982,Sudbury-North Bay Regional Office,,Secondary,First Nation,First Nation,No
Bay School of Canada,668088,,Tom Winston,208,,1110 Sheppard Avenue East,Toronto,Ontario,M2K2W2,416-800-4472,,Toronto and Area Regional Office,www.bayschoolofcanada.com,Secondary,Not applicable,Internet/Site Based,No
Bayfield School,881988,Offers credits toward the Ontario Secondary School Diploma (OSSD),Richard Duvall,,,41 County Rd  39,Consecon,Ontario,K0K1T0,613-392-3551,613-392-4054,Ottawa Regional Office,http://www.bayfield.net/,Elem/Sec,All Year Round,Site based only,No
Bayview Glen,887188,Offers credits toward the Ontario Secondary School Diploma (OSSD),Eileen Daunt,,,85 Moatfield Dr,Toronto,Ontario,M3B3L6,416-443-1030,416-443-0984,Toronto and Area Regional Office,www.bayviewglen.ca,Elem/Sec,Not applicable,,Canadian Accredited Independent Schools
Bayview Glen (Elementary),884645,,Eileen Daunt,,,275 Duncan Mill Road,Toronto,Ontario,M3B3H9,416-443-1030,416-443-1032,Toronto and Area Regional Office,www.bayviewglen.ca,Elementary,Not applicable,,Canadian Accredited Independent Schools
Beacon Christian Elementary School,886319,,Ralph Pot,,,300 Scott St,St Catharines,Ontario,L2N1J3,905-937-7411,905-937-1130,London Regional Office,www.beaconchristian.org,Elementary,Not applicable,Site based only,Ontario Alliance of Christian Schools
Beacon House International College,666670,Offers credits toward the Ontario Secondary School Diploma (OSSD),Bilal Rashid,201,,3050 Confederation Parkway,Mississauga,Ontario,L5B3Z6,905-290-1321,905-290-7994,Toronto and Area Regional Office,www.beaconhouse.ca,Elem/Sec,All Year Round,Internet/Site Based,No
Beacon Mile Academy,666413,Offers credits toward the Ontario Secondary School Diploma (OSSD),Simon Gallo,201,,10620 Yonge Street,Richmond Hill,Ontario,L4C3C8,416-900-3089,,Barrie Regional Office,www.beaconmile.com,Secondary,All Year Round,,No
Beacon of Light Private Elementary Schoo,668904,,mariana oproiu,1,,2191 Gerrard Street East,Toronto,Ontario,M4E2C6,647-518-8652,,Toronto and Area Regional Office,beaconschool.ca,Elementary,Not applicable,,No
Beaver Valley Parochial School,884634,,Anna Martin,,,491769 Southgate Sideroad 49 1,Holstein,Ontario,N0G2A0,,,Barrie Regional Office,,Elementary,Not applicable,Site based only,Waterloo-Wellington-Perth Parochial Schools
Beaverbrook Math Academy,668367,Offers credits toward the Ontario Secondary School Diploma (OSSD),Holly MacDonald,200,,2 Beaverbrook Road,Kanata,Ontario,K2K1L1,613-435-6284,,Ottawa Regional Office,www.beaverbrookmathacademy.com,Secondary,Not applicable,Site based only,No
Beechwood Brainery,669958,,,,,745 Coronation Boulevard #204,Cambridge,Ontario,N1R7R1,519-221-0304,,London Regional Office,,Elementary,Not applicable,,
"Behaviour Innovations, Children's Colleg",666432,,Nicole WALTON-ALLEN,,,618 The Queensway,Toronto,Ontario,M8Y1K3,416-251-9277,416-251-4688,Barrie Regional Office,www.behaviourinnovations.com,Elementary,Not applicable,,No
Belka-Jane School,883730,Applied to offer credits toward the Ontario secondary School Diploma (OSSD),Adeleke Keshinro,37,,120 Norfinch Drive,North York,Ontario,M3N1X3,800-606-9992,,Toronto and Area Regional Office,www.belkaecenter.com,Secondary,All Year Round,Internet/Site Based,No
Belleville District Christian School,886521,,Jordan Butcher,,,18 Christian School Road RR5,Belleville,Ontario,K8N0L7,613-962-7849,613-962-6440,Ottawa Regional Office,http://www.bellevillechristianschool.ca,Elementary,Not applicable,Site based only,Edvance Christian Schools Association
Belleville Montessori School,886209,,Marcia McQuaid,,,28 ORIOLE PARK AVE,BELLEVILLE,Ontario,K8N4C7,613-966-7672,613-966-7019,Ottawa Regional Office,www.bellevillemontessori.com,Elementary,Not applicable,Site based only,No
Bellstone Christian School,665087,,Ken Bergsma,,,6025 White Church Road,Mount Hope,Ontario,L0R1W0,289-425-1007,,Toronto and Area Regional Office,www.bellstoneschool.ca,Elementary,Not applicable,,League of Canadian Reformed School Societies
Bennington Academy,885213,Offers credits toward the Ontario Secondary School Diploma (OSSD),YuChen Song,102B,,201 Consumers Road,Toronto,Ontario,M2J4G8,416-939-2933,,Toronto and Area Regional Office,,Secondary,All Year Round,Site based only,No
Berean Baptist Church and Academy,667602,,Gregory Calnan,,,256 St. George Street,Brantford,Ontario,N3R1W9,519-752-0630,,London Regional Office,www.bereanbaptistbrantford.ca,Elem/Sec,Not applicable,,No
Bestune Academy,667158,Offers credits toward the Ontario Secondary School Diploma (OSSD),Yazhou Zhai,202,,2 Duncan Mill Road,Scarborough,Ontario,M3B1Z4,647-748-5154,,Toronto and Area Regional Office,,Secondary,All Year Round,,No
Beth Jacob Private School,887196,Offers credits toward the Ontario Secondary School Diploma (OSSD),Shifra Spiro,,,410 Lawrence Ave W,Toronto,Ontario,M5M1C2,416-787-4949,416-787-0453,Toronto and Area Regional Office,,Secondary,Not applicable,Site based only,Board of Jewish Education
Bethel Baptist Academy,889024,,Alan Feere,,,4059 Highway 3 East,Simcoe,Ontario,N3Y4K4,519-426-8421,,London Regional Office,http://www.bethelbaptistsimcoe.ca/,Elem/Sec,Not applicable,Internet/Site Based,No
Bethune International Collegiate,880238,Offers credits toward the Ontario Secondary School Diploma (OSSD),Roy Hu,330,,4438 Sheppard Avenue East,Scarborough,Ontario,M1S5V9,647-880-8965,,Toronto and Area Regional Office,bethunecollege.ca,Secondary,All Year Round,Internet/Site Based,No
Bethune Memorial School,884506,Offers credits toward the Ontario Secondary School Diploma (OSSD),Judith Garza-Guajardo,2207-B,,3000 Lawrence Avenue East,Toronto,Ontario,M1P2V1,416-282-9970,,Toronto and Area Regional Office,www.bethunems.com,Secondary,All Year Round,Internet/Site Based,No
Bialik Hebrew Day School,887200,,Benjamin Cohen,,,2760 Bathurst St,Toronto,Ontario,M6B3A1,416-783-3346,416-785-8287,Toronto and Area Regional Office,www.bialik.ca,Elementary,Not applicable,Site based only,No
Bibleway Ministries Christian Learning C,884706,,Christine Grant,,,500 Bride Private,Nepean,Ontario,K2J0J1,613-838-4238,,Ottawa Regional Office,https://www.clcottawa.ca/,Elem/Sec,Not applicable,Site based only,No
Biigtigong Nishnaabeg,663816,Offers credits toward the Ontario Secondary School Diploma (OSSD),Lisa Michano,,Box 216,21 Rabbit Drive,Heron Bay,Ontario,P0T1R0,807-229-0360,807-229-3727,Thunder Bay Regional Office,,Secondary,First Nation,First Nation,No
Bimose Community High School,663582,Offers credits toward the Ontario Secondary School Diploma (OSSD),Darcy Wickham,,,1450 Valley Drive,Kenora,Ontario,P9N3Y4,807-548-4912,807-548-5917,Thunder Bay Regional Office,www.bimose.ca,Secondary,First Nation,First Nation,No
Birchas Shmuel,885865,Offers credits toward the Ontario Secondary School Diploma (OSSD),Ephraim Klein,,,11 Noam Court,Thornhill,Ontario,L4J9K6,647-996-3444,,Toronto and Area Regional Office,www.birchasshmuel.com,Secondary,All Year Round,Site based only,No
Birchwood Christian School,885084,,Norman Miller,,,315 Hoey Road,Dryden,Ontario,P8N3G2,807-937-4421,,Thunder Bay Regional Office,,Elem/Sec,Not applicable,Site based only,No
Birmingham Int'l Collegiate of Can,668260,Offers credits toward the Ontario Secondary School Diploma (OSSD),Zahra Zaidi,2nd Floor,,90 Eglinton Avenue West,Toronto,Ontario,M4R2E4,416-481-8866,416-481-3511,Toronto and Area Regional Office,www.bicc-edu.com,Secondary,All Year Round,Site based only,No
Bishop Hamilton Montessori School,883808,,Renette Sasouni,,,2199 Regency Terrace Dr,Ottawa,Ontario,K2C1H2,613-596-4013,613-596-4971,Ottawa Regional Office,http://www.bhms.ca,Elementary,Not applicable,Site based only,Canadian Council of Montessori Administrators
"Bishop Strachan School, The",886840,Offers credits toward the Ontario Secondary School Diploma (OSSD),Angela Terpstra,,,298 Lonsdale Rd,Toronto,Ontario,M4V1X2,416-483-4325,416-481-5632,Toronto and Area Regional Office,http://www.bss.on.ca,Elem/Sec,All Year Round,Site based only,Conference of Independent Schools
Bkejwanong Kinomaagewgamig,881912,,Simeon Russell Blackbird,,,521 Tecumseh Road,Wallaceburg,Ontario,N8A4K9,519-627-0712,519-627-8536,London Regional Office,,Elementary,First Nation,First Nation,No
Black Creek Parochial,668131,,Hannah Martin,,,68 Statters Lake Ave 1,Holyrood,Ontario,N0G2B0,,,Barrie Regional Office,,Elementary,Not applicable,Site based only,Waterloo-Wellington-Perth Parochial Schools
Blaisdale Montessori,888893,,Heather Wilson,,,415 Toynevale Rd,Pickering,Ontario,L1W2G9,905-509-5005,905-509-1959,Barrie Regional Office,www.blaisdale.com,Elementary,Not applicable,Site based only,Ontario Federation of Independent Schools
Blake Academy,882495,,Cheryl Blake,,,5171 Huntingfield Drive,Mississauga,Ontario,L5R2L8,416-580-9959,,Toronto and Area Regional Office,www.blakeacademy.ca,Elementary,Not applicable,Site based only,No
Blue Gene Education,884414,Offers credits toward the Ontario Secondary School Diploma (OSSD),Shan Shan Chen,220-221,,11A Glen Watford Drive,Scarborough,Ontario,M1S2B8,647-722-9968,,Toronto and Area Regional Office,www.bluegene.ca,Secondary,All Year Round,Internet/Site Based,No
