Board Number,Board Name,Board Type,School Number,School Name,School Type,School Special Condition Code,School Level,School Language,Grade Range,Building Suite,P.O. Box,Street,Municipality,City,Province,Postal Code,Phone Number,Fax Number,School Website,Board Website,Enrolment,Latitude,Longitude,Percentage of Students Whose First Language Is Not English,Percentage of Students Whose First Language Is Not French,Percentage of Students Who Are New to Canada from a Non-English Speaking Country,Percentage of Students Who Are New to Canada from a Non-French Speaking Country,Percentage of Students Identified as Gifted,Percentage of Students Receiving Special Education Services,Percentage of Grade 3 Students Achieving the Provincial Standard in Reading,Change in Grade 3 Reading Achievement Over Three Years,Percentage of Grade 3 Students Achieving the Provincial Standard in Writing,Change in Grade 3 Writing Achievement Over Three Years,Percentage of Grade 3 Students Achieving the Provincial Standard in Mathematics,Change in Grade 3 Mathematics Achievement Over Three Years,Percentage of Grade 6 Students Achieving the Provincial Standard in Reading,Change in Grade 6 Reading Achievement Over Three Years,Percentage of Grade 6 Students Achieving the Provincial Standard in Writing,Change in Grade 6 Writing Achievement Over Three Years,Percentage of Grade 6 Students Achieving the Provincial Standard in Mathematics,Change in Grade 6 Mathematics Achievement Over Three Years,Percentage of Grade 9 Students Achieving the Provincial Standard in Academic Mathematics,Change in Grade 9 Academic Mathematics Achievement Over Three Years,Percentage of Grade 9 Students Achieving the Provincial Standard in Applied Mathematics,Change in Grade 9 Applied Mathematics Achievement Over Three Years,Percentage of Students That Passed the Grade 10 OSSLT on Their First Attempt,Change in Grade 10 OSSLT Literacy Achievement Over Three Years,Percentage of School-Aged Children Who Live in Low-Income Households,Percentage of Students Whose Parents Have Some University Education,Extract Date,ISCED010,ISCED020,ISCED1,ISCED2,ISCED3
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),708011,Georges Vanier Catholic School,Catholic,Not applicable,Elementary,English,JK-8,,,100 Tracey St E,Belleville,Belleville,Ontario,K8P2R8,613-962-7541,613-391-0169,https://www.alcdsb.on.ca/school/gvan/Pages/default.aspx,www.alcdsb.on.ca,330,44.18404,-77.4013,5,100,0,0,20,0,64%,-2.0,64%,-2.0,36%,-17.0,71%,-7.0,69%,-18.0,40%,-8.0,,,,,,,25,30,2020-09-04,1,1,1,1,0
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),715298,Holy Cross Catholic Secondary School,Catholic,Not applicable,Secondary,English,9-12,,,1085 Woodbine Rd,Kingston,Kingston,Ontario,K7P2V9,613-384-1919,613-384-8665,https://www.alcdsb.on.ca/school/hcss/Pages/default.aspx,www.alcdsb.on.ca,1070,44.258990000000004,-76.5987,6,100,1,2,27,0,,,,,,,,,,,,,78%,-1.0,49%,9.0,77%,-4.0,8,40,2020-09-04,0,0,0,1,1
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),717703,Holy Name Catholic School,Catholic,Not applicable,Elementary,English,JK-8,,,370 Kingston Mills Road,Kingston,Kingston,Ontario,K7L5H6,613-542-8611,613-549-6979,https://www.alcdsb.on.ca/school/name/Pages/default.aspx,www.alcdsb.on.ca,130,44.30068,-76.4242,0,100,0,5,15,0,69%,-31.0,100%,10.0,69%,-21.0,100%,15.0,100%,15.0,73%,19.0,,,,,,,10,30,2020-09-04,1,1,1,1,0
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),865257,Holy Name of Mary Catholic School,Catholic,Not applicable,Elementary,English,JK-8,,,7314 Old Highway 2 RR1,Tyendinaga,Marysville,Ontario,K0K2N0,613-396-2741,613-396-6554,https://www.alcdsb.on.ca/school/namm/Pages/default.aspx,www.alcdsb.on.ca,110,44.22671,-77.1368,0,100,0,0,20,0,50%,,33%,,42%,,85%,,92%,,0%,,,,,,,,10,20,2020-09-04,1,1,1,1,0
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),719919,Holy Rosary Catholic School,Catholic,Not applicable,Elementary,English,JK-8,,,10 Prince of Wales Dr,Belleville,Belleville,Ontario,K8P2T4,613-962-2305,613-391-0168,https://www.alcdsb.on.ca/school/rosa/Pages/default.aspx,www.alcdsb.on.ca,215,44.17815,-77.3845,5,100,0,0,20,0,60%,10.0,60%,-7.0,35%,-15.0,56%,-6.0,74%,21.0,22%,-6.0,,,,,,,25,25,2020-09-04,1,1,1,1,0
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),735523,J J O'Neill Catholic School,Catholic,Not applicable,Elementary,English,JK-8,,,240 Marilyn Ave,Greater Napanee,Napanee,Ontario,K7R2L4,613-354-9500,613-345-6970,https://www.alcdsb.on.ca/school/jjon/Pages/default.aspx,www.alcdsb.on.ca,275,44.247009999999996,-76.9636,0,95,0,0,15,0,56%,10.0,59%,-8.0,41%,-9.0,70%,-7.0,67%,-13.0,36%,3.0,,,,,,,15,30,2020-09-04,1,1,1,1,0
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),724068,John XXIII Catholic School,Catholic,Not applicable,Elementary,English,JK-8,,,736 High Gate Park Dr,Kingston,Kingston,Ontario,K7M5Z9,613-389-4388,613-389-9995,https://www.alcdsb.on.ca/school/john/Pages/default.aspx,www.alcdsb.on.ca,245,44.24649,-76.6039,5,100,5,0,15,0,81%,-3.0,86%,2.0,76%,-13.0,75%,-25.0,81%,-15.0,38%,-34.0,,,,,,,5,40,2020-09-04,1,1,1,1,0
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),728420,Loyola Community Learning Centre,Catholic,Adult,Secondary,English,9-12,,,1440 Princess Street,Kingston,Kingston,Ontario,K7M3E5,613-544-3361,613-547-0999,https://www.learningatloyola.ca/campus/kingston/,www.alcdsb.on.ca,270,44.2508,-76.5329,10,100,5,0,5,0,,,,,,,,,,,,,,,,,,,30,20,2020-09-04,0,0,0,1,1
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),773875,Mother Teresa Catholic School,Catholic,Not applicable,Elementary,English,JK-8,,,1044 Lancaster Dr,Kingston,Kingston,Ontario,K7P2L6,613-384-8644,613-384-0183,https://www.alcdsb.on.ca/school/trsa/Pages/default.aspx,www.alcdsb.on.ca,395,44.25586,-76.5982,5,100,5,0,15,0,79%,-8.0,74%,-19.0,54%,-13.0,91%,-6.0,93%,-4.0,70%,19.0,,,,,,,10,60,2020-09-04,1,1,1,1,0
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),835099,Nicholson Catholic College,Catholic,Not applicable,Secondary,English,9-12,,,301 Church St,Belleville,Belleville,Ontario,K8N3C7,613-967-0404,613-967-1963,https://www.alcdsb.on.ca/school/nicc/Pages/default.aspx,www.alcdsb.on.ca,430,44.16855,-77.3825,5,100,0,0,20,0,,,,,,,,,,,,,76%,4.0,42%,4.0,86%,-5.0,20,30,2020-09-04,0,0,0,1,1
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),742279,Our Lady of Fatima Catholic School,Catholic,Not applicable,Elementary,English,JK-8,,,300 Sidney St,Belleville,Belleville,Ontario,K8P3Z3,613-962-2162,613-962-5935,https://www.alcdsb.on.ca/school/ofat/Pages/default.aspx,www.alcdsb.on.ca,170,44.16552,-77.4014,0,100,0,0,20,0,42%,-31.0,25%,-48.0,33%,-8.0,58%,-18.0,68%,-22.0,32%,-11.0,,,,,,,25,25,2020-09-04,1,1,1,1,0
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),746568,Our Lady of Lourdes Catholic School,Catholic,Not applicable,Elementary,English,JK-8,,,20 Cranbrook St,Kingston,Kingston,Ontario,K7M4M9,613-389-2800,613-389-9551,https://www.alcdsb.on.ca/school/lady/Pages/default.aspx,www.alcdsb.on.ca,265,44.22013,-76.5708,0,100,0,0,20,0,88%,-2.0,91%,1.0,85%,2.0,86%,7.0,86%,7.0,43%,0.0,,,,,,,10,50,2020-09-04,1,1,1,1,0
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),746690,Our Lady of Mercy Catholic School,Catholic,Not applicable,Elementary,English,JK-8,,,192 Bridge St W,Bancroft,Bancroft,Ontario,K0L1C0,613-332-3300,613-332-0523,https://www.alcdsb.on.ca/school/omer/Pages/default.aspx,www.alcdsb.on.ca,180,45.05601,-77.8624,0,100,0,0,15,0,71%,,76%,,47%,,91%,12.0,95%,9.0,32%,-18.0,,,,,,,30,15,2020-09-04,1,1,1,1,0
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),706264,Our Lady of Mount Carmel Catholic School,Catholic,Not applicable,Elementary,English,JK-8,,,97 Park Cres,Loyalist,Amherstview,Ontario,K7N1L7,613-389-1122,613-389-9684,https://www.alcdsb.on.ca/school/olmc/Pages/default.aspx,www.alcdsb.on.ca,495,44.2236,-76.6407,0,100,0,5,10,0,70%,4.0,58%,-17.0,58%,-19.0,76%,5.0,83%,9.0,12%,-11.0,,,,,,,10,35,2020-09-04,1,1,1,1,0
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),752932,Regiopolis/Notre-Dame Catholic High School,Catholic,Not applicable,Secondary,English,9-12,,,130 Russell St,Kingston,Kingston,Ontario,K7K2E9,613-545-1902,613-548-4024,www.alcdsb.on.ca/school/regi,www.alcdsb.on.ca,1010,44.24334,-76.4939,9,97,3,3,29,0,,,,,,,,,,,,,94%,7.0,67%,7.0,87%,-1.0,14,34,2020-09-04,0,0,0,1,1
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),756830,Sacred Heart Catholic School,Catholic,Not applicable,Elementary,English,JK-8,,,50 Bursthall St,Marmora and Lake,Marmora,Ontario,K0K2M0,613-472-2625,613-472-0540,https://www.alcdsb.on.ca/school/shrm/Pages/default.aspx,www.alcdsb.on.ca,140,44.48104,-77.6787,5,100,0,0,15,0,80%,3.0,100%,23.0,50%,-12.0,69%,7.0,81%,19.0,19%,7.0,,,,,,,30,10,2020-09-04,1,1,1,1,0
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),764370,Sacred Heart Catholic School,Catholic,Not applicable,Elementary,English,JK-8,,,31 Thomas Bata Blvd,Quinte West,Batawa,Ontario,K0K1E0,613-398-6393,613-398-0589,https://www.alcdsb.on.ca/school/shrb/Pages/default.aspx,www.alcdsb.on.ca,140,44.17001,-77.5964,0,100,0,0,10,0,81%,6.0,62%,-21.0,50%,17.0,N/R,,N/R,,N/R,,,,,,,,10,20,2020-09-04,1,1,1,1,0
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),868370,Sacred Heart Catholic School,Catholic,Not applicable,Elementary,English,JK-8,,,57 Hwy 95,Frontenac Islands,Wolfe Island,Ontario,K0H2Y0,613-385-2348,613-385-1415,https://www.alcdsb.on.ca/school/shrt/Pages/default.aspx,www.alcdsb.on.ca,55,44.19003,-76.442,0,100,0,0,20,0,N/R,,N/R,,N/R,,N/R,,N/R,,N/R,,,,,,,,10,20,2020-09-04,1,1,1,1,0
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),781142,St Carthagh Catholic School,Catholic,Not applicable,Elementary,English,JK-8,,,114 Hungerford Rd,Tweed,Tweed,Ontario,K0K3J0,613-478-2601,613-478-6127,https://www.alcdsb.on.ca/school/cart/Pages/default.aspx,www.alcdsb.on.ca,150,44.47874,-77.317,0,100,0,0,15,0,N/R,,N/R,,N/R,,69%,,69%,,6%,,,,,,,,25,15,2020-09-04,1,1,1,1,0
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),756642,St Francis of Assisi Catholic School,Catholic,Not applicable,Elementary,English,JK-8,,,114 Wiley Street,Kingston,Kingston,Ontario,K7K5B5,613-546-5981,613-546-0463,https://www.alcdsb.on.ca/school/stfa/Pages/default.aspx,www.alcdsb.on.ca,275,44.26086,-76.4907,0,100,5,0,30,0,41%,,26%,,15%,,60%,,70%,,10%,,,,,,,,45,15,2020-09-04,1,1,1,1,0
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),796220,St Gregory Catholic School,Catholic,Not applicable,Elementary,English,JK-8,,,7 Owen St,Prince Edward County,Picton,Ontario,K0K2T0,613-476-2461,613-476-8937,https://www.alcdsb.on.ca/school/greg/Pages/default.aspx,www.alcdsb.on.ca,255,44.008790000000005,-77.1326,0,100,0,0,15,0,92%,44.0,85%,11.0,51%,-1.0,65%,-27.0,62%,-38.0,8%,-64.0,,,,,,,20,30,2020-09-04,1,1,1,1,0
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),799556,St James Major,Catholic,Not applicable,Elementary,English,JK-8,,,14608 Hwy. #38,Essex,Sharbot Lake,Ontario,K0H2P0,613-279-3300,613-279-1120,https://www.alcdsb.on.ca/school/jams/Pages/default.aspx,www.alcdsb.on.ca,SP,44.77277,-76.6883,SP,SP,SP,SP,SP,SP,N/R,,N/R,,N/R,,N/R,,N/R,,N/R,,,,,,,,SP,SP,2020-09-04,1,1,1,1,0
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),815330,St Joseph Catholic School,Catholic,Not applicable,Elementary,English,JK-8,,,405 Bridge St E,Belleville,Belleville,Ontario,K8N1P7,613-962-3653,613-391-0170,https://www.alcdsb.on.ca/school/jose/Pages/default.aspx,www.alcdsb.on.ca,365,44.16896,-77.3584,5,100,0,0,15,0,89%,21.0,85%,26.0,62%,9.0,97%,4.0,91%,1.0,69%,2.0,,,,,,,20,30,2020-09-04,1,1,1,1,0
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),695602,St Joseph School,Catholic,Not applicable,Elementary,English,JK-5,,,671 Brock St,Kingston,Kingston,Ontario,K7L1V7,613-542-4352,,https://www.alcdsb.on.ca/school/sjsm/Pages/default.aspx,www.alcdsb.on.ca,,44.233090000000004,-76.50631,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-09-04,1,1,1,0,0
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),830984,St Marguerite Bourgeoys Catholic School,Catholic,Not applicable,Elementary,English,JK-8,,,355 Waterloo Ave,Kingston,Kingston,Ontario,K7M8P5,613-549-4499,613-549-9903,https://www.alcdsb.on.ca/school/marg/Pages/default.aspx,www.alcdsb.on.ca,445,44.25374,-76.5534,0,95,0,0,20,0,69%,-12.0,63%,-18.0,43%,-21.0,82%,-7.0,89%,11.0,42%,-7.0,,,,,,,10,45,2020-09-04,1,1,1,1,0
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),823570,St Martha Catholic School,Catholic,Not applicable,Elementary,English,JK-8,,,455 St Martha St,Kingston,Kingston,Ontario,K7K7C2,613-544-4050,613-544-5341,https://www.alcdsb.on.ca/school/mart/Pages/default.aspx,www.alcdsb.on.ca,350,44.26573,-76.4467,0,100,0,5,20,0,77%,1.0,67%,-4.0,64%,25.0,89%,8.0,87%,6.0,51%,-4.0,,,,,,,0,60,2020-09-04,1,1,1,1,0
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),824330,St Martin of Tours Catholic School,Catholic,Not applicable,Elementary,English,JK-8,,,62 Post Street,Timmins,Whitney,Ontario,K0J2M0,613-637-2720,613-637-2873,https://www.alcdsb.on.ca/school/marn/Pages/default.aspx,www.alcdsb.on.ca,SP,45.49137,-78.2361,SP,SP,SP,SP,SP,SP,N/R,,N/R,,N/R,,N/R,,N/R,,N/R,,,,,,,,SP,SP,2020-09-04,1,1,1,1,0
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),831840,St Mary Catholic School,Catholic,Not applicable,Elementary,English,JK-6,,,85 Campbell St,Quinte West,Trenton,Ontario,K8V3A2,613-392-3538,613-392-2368,https://www.alcdsb.on.ca/school/stmt/Pages/default.aspx,www.alcdsb.on.ca,410,44.10885,-77.5662,0,100,0,0,15,0,55%,-20.0,50%,-12.0,34%,-15.0,76%,-8.0,86%,-2.0,22%,-4.0,,,,,,,20,20,2020-09-04,1,1,1,0,0
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),865125,St Mary Catholic School,Catholic,Not applicable,Elementary,English,JK-8,,,1285 Read Rd RR 1,Tyendinaga,Shannonville,Ontario,K0K3A0,613-396-5430,613-396-6555,https://www.alcdsb.on.ca/school/stms/Pages/default.aspx,www.alcdsb.on.ca,105,44.3069,-77.2217,0,100,0,0,15,0,N/R,,N/R,,N/R,,N/R,,N/R,,N/R,,,,,,,,15,20,2020-09-04,1,1,1,1,0
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),834688,St Michael Catholic School,Catholic,Not applicable,Elementary,English,JK-8,,,273 Church St,Belleville,Belleville,Ontario,K8N3C7,613-968-5765,613-391-0171,https://www.alcdsb.on.ca/school/mich/Pages/default.aspx,www.alcdsb.on.ca,620,44.16771,-77.3821,4,100,2,2,14,0,59%,-2.0,38%,-18.0,38%,-1.0,72%,-5.0,67%,0.0,28%,5.0,,,,,,,25,24,2020-09-04,1,1,1,1,0
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),764248,St Patrick Catholic School,Catholic,Not applicable,Elementary,English,JK-8,,,6041 HW Y 41,Stone Mills,Erinsville,Ontario,K0K2A0,613-379-2991,613-379-5627,https://www.alcdsb.on.ca/school/stpe/Pages/default.aspx,www.alcdsb.on.ca,SP,44.48645,-77.0527,SP,SP,SP,SP,SP,SP,N/R,,N/R,,N/R,,N/R,,N/R,,N/R,,,,,,,,SP,SP,2020-09-04,1,1,1,1,0
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),841773,St Patrick Catholic School,Catholic,Not applicable,Elementary,English,JK-8,,,3889 Wilton Rd,South Frontenac,Harrowsmith,Ontario,K0H1V0,613-372-2251,613-372-2726,https://www.alcdsb.on.ca/school/stph/Pages/default.aspx,www.alcdsb.on.ca,240,44.39978,-76.67,0,100,5,0,10,0,88%,-12.0,96%,-1.0,84%,-6.0,81%,9.0,90%,18.0,32%,-12.0,,,,,,,10,35,2020-09-04,1,1,1,1,0
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),706744,St Paul Catholic Elementary School,Catholic,Not applicable,Elementary,English,7-8,,,15 Tripp Blvd,Quinte West,Trenton,Ontario,K8V6M2,613-394-4843,613-394-2684,www.alcdsb.on.ca/school/pass,www.alcdsb.on.ca,175,44.0943,-77.5974,5,95,0,0,30,0,,,,,,,,,,,,,,,,,,,15,20,2020-09-04,0,0,0,1,0
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),842761,St Paul Catholic School,Catholic,Not applicable,Elementary,English,JK-8,,,266 McMahon Ave,Kingston,Kingston,Ontario,K7M3H2,613-542-6101,613-542-3784,https://www.alcdsb.on.ca/school/paul/Pages/default.aspx,www.alcdsb.on.ca,140,44.249629999999996,-76.5241,5,100,0,0,20,0,46%,-40.0,62%,-38.0,38%,-48.0,89%,3.0,100%,7.0,33%,-31.0,,,,,,,20,40,2020-09-04,1,1,1,1,0
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),841358,St Paul Catholic Secondary School,Catholic,Not applicable,Secondary,English,9-12,,,15 Tripp Blvd,Quinte West,Trenton,Ontario,K8V6M2,613-394-4843,613-394-2684,www.alcdsb.on.ca/school/pass,www.alcdsb.on.ca,310,44.09403,-77.5981,0,100,0,0,30,0,,,,,,,,,,,,,84%,-4.0,42%,-12.0,83%,4.0,10,20,2020-09-04,0,0,0,1,1
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),845493,St Peter Catholic School,Catholic,Not applicable,Elementary,English,JK-8,,,15A Tripp Blvd,Quinte West,Trenton,Ontario,K8V6M2,613-392-6577,613-392-3191,https://www.alcdsb.on.ca/school/pett/Pages/default.aspx,www.alcdsb.on.ca,305,44.09989,-77.579,0,100,0,0,15,0,66%,5.0,68%,-7.0,56%,7.0,58%,-27.0,65%,-15.0,33%,-22.0,,,,,,,15,25,2020-09-04,1,1,1,1,0
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),851752,St Theresa Catholic Secondary School,Catholic,Not applicable,Secondary,English,9-12,,,135 Adam St,Belleville,Belleville,Ontario,K8N5S1,613-968-6993,613-968-9470,www.alcdsb.on.ca/school/thss,www.alcdsb.on.ca,705,44.19052,-77.3819,2,100,1,1,24,0,,,,,,,,,,,,,65%,-13.0,10%,-23.0,65%,-11.0,12,21,2020-09-04,0,0,0,1,1
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),856150,St Thomas More Catholic School,Catholic,Not applicable,Elementary,English,JK-8,,,234 Norman Rogers Dr,Kingston,Kingston,Ontario,K7M2R4,613-542-1575,613-544-3970,https://www.alcdsb.on.ca/school/sttm/Pages/default.aspx,www.alcdsb.on.ca,250,44.23513,-76.524,10,100,5,10,20,0,57%,-22.0,68%,-11.0,36%,-38.0,88%,-8.0,88%,-8.0,50%,-25.0,,,,,,,25,40,2020-09-04,1,1,1,1,0
B66010,Avon Maitland DSB,Pub Dist Sch Brd (E/F),019313,Anne Hathaway Public School,Public,Not applicable,Elementary,English,JK-6,,,77 Bruce St,Stratford,Stratford,Ontario,N5A4A2,519-271-8576,519-271-8516,http://www.avonmaitlandschools.ca/annehathaway/,http://blog.amdsb.ca,395,43.3579,-80.972,5,100,0,0,10,0,57%,-15.0,55%,-19.0,53%,-8.0,69%,-17.0,64%,-11.0,40%,-19.0,,,,,,,25,20,2020-09-04,1,1,1,0,0
B66010,Avon Maitland DSB,Pub Dist Sch Brd (E/F),893048,Avon Maitland District E-learning Centre,Public,Not applicable,Secondary,English,9-12,,,165 Princess St E,Central Huron,Clinton,Ontario,N0M1L0,519-482-5428,519-482-8795,http://amdec.ca/,http://blog.amdsb.ca,305,43.6186,-81.5326,10,100,0,0,0,0,,,,,,,,,,,,,,,,,,,15,40,2020-09-04,0,0,0,1,1
B66010,Avon Maitland DSB,Pub Dist Sch Brd (E/F),028673,Avon Public School,Public,Not applicable,Elementary,English,JK-6,,,31 Huntingdon Ave,Stratford,Stratford,Ontario,N5A6N7,519-271-2905,519-271-0406,http://www.avonmaitlandschools.ca/avon/,http://blog.amdsb.ca,375,43.37444,-80.9979,0,100,0,5,5,0,75%,-7.0,69%,-7.0,46%,-20.0,82%,0.0,75%,0.0,55%,-16.0,,,,,,,10,50,2020-09-04,1,1,1,0,0
B66010,Avon Maitland DSB,Pub Dist Sch Brd (E/F),039306,Bedford Public School,Public,Not applicable,Elementary,English,JK-6,,,59 Bedford Dr,Stratford,Stratford,Ontario,N5A5J7,519-273-1190,519-273-7001,http://www.avonmaitlandschools.ca/bedford/,http://blog.amdsb.ca,465,43.3824,-80.9722,0,100,5,5,10,0,69%,-12.0,60%,-8.0,63%,16.0,88%,5.0,79%,-6.0,46%,-3.0,,,,,,,10,55,2020-09-04,1,1,1,0,0
B66010,Avon Maitland DSB,Pub Dist Sch Brd (E/F),272319,Bluewater Coast Elementary Public School,Public,Not applicable,Elementary,English,JK-6,,,85 York Street,Bluewater,Hensall,Ontario,N0M1X0,519-262-2833,519-262-2323,http://www.avonmaitlandschools.ca/bluewatercoast/,http://blog.amdsb.ca,135,43.431459999999994,-81.5015,0,100,0,0,10,0,82%,7.0,73%,-12.0,73%,3.0,95%,14.0,90%,4.0,52%,0.0,,,,,,,5,15,2020-09-04,1,1,1,0,0
B66010,Avon Maitland DSB,Pub Dist Sch Brd (E/F),066699,Brookside Public School,Public,Not applicable,Elementary,English,JK-8,,,36937 Belgrave Road RR 7,Ashfield-Colborne-Wawanosh,Lucknow,Ontario,N0G2H0,519-529-7900,519-529-3142,http://www.avonmaitlandschools.ca/brookside/,http://blog.amdsb.ca,210,43.89914,-81.5709,0,100,0,0,10,0,71%,21.0,71%,7.0,57%,21.0,68%,-6.0,74%,13.0,32%,6.0,,,,,,,20,25,2020-09-04,1,1,1,1,0
B66010,Avon Maitland DSB,Pub Dist Sch Brd (E/F),899569,Central Huron Secondary School,Public,Not applicable,Secondary,English,9-12,,,165 Princess St E,Central Huron,Clinton,Ontario,N0M1L0,519-482-3471,519-482-9718,http://conrkuip.typepad.com/chss_chronicle/,http://blog.amdsb.ca,430,43.61681,-81.5337,0,100,0,0,20,0,,,,,,,,,,,,,81%,8.0,56%,21.0,56%,-18.0,10,20,2020-09-04,0,0,0,1,1
B66010,Avon Maitland DSB,Pub Dist Sch Brd (E/F),093718,Central Perth Elementary School,Public,Not applicable,Elementary,English,JK-8,,,4663 Road 135 RR 1,Perth East,Sebringville,Ontario,N0K1X0,519-393-5300,519-393-5540,http://www.avonmaitlandschools.ca/centralperth/,http://blog.amdsb.ca,215,43.46305,-81.0266,5,100,0,0,10,0,76%,20.0,65%,9.0,35%,-13.0,80%,0.0,83%,23.0,30%,18.0,,,,,,,10,30,2020-09-04,1,1,1,1,0
B66010,Avon Maitland DSB,Pub Dist Sch Brd (E/F),112917,Clinton Public School,Public,Not applicable,Elementary,English,JK-8,,,27 Percival St,Central Huron,Clinton,Ontario,N0M1L0,519-482-9424,519-482-9775,http://www.avonmaitlandschools.ca/clinton/,http://blog.amdsb.ca,300,43.61488,-81.532,0,100,0,0,20,5,75%,16.0,68%,21.0,57%,7.0,87%,11.0,87%,22.0,47%,-10.0,,,,,,,15,25,2020-09-04,1,1,1,1,0
B66010,Avon Maitland DSB,Pub Dist Sch Brd (E/F),145912,Downie Central Public School,Public,Not applicable,Elementary,English,JK-8,,,4384 Line 20 RR 2,Perth South,St Pauls,Ontario,N0K1V0,519-393-6196,519-393-8168,http://www.avonmaitlandschools.ca/downie/,http://blog.amdsb.ca,210,43.32748,-81.0775,0,100,0,0,15,0,90%,9.0,90%,6.0,71%,6.0,80%,-1.0,80%,-4.0,60%,-1.0,,,,,,,10,30,2020-09-04,1,1,1,1,0
B66010,Avon Maitland DSB,Pub Dist Sch Brd (E/F),175170,Elma Township Public School,Public,Not applicable,Elementary,English,JK-8,,,5972 Line 72 RR 2,North Perth,Atwood,Ontario,N0G1B0,519-356-2241,519-356-2242,http://www.avonmaitlandschools.ca/elma/,http://blog.amdsb.ca,335,43.656290000000006,-81.0259,0,95,0,0,5,0,85%,31.0,78%,21.0,67%,10.0,67%,-19.0,67%,12.0,31%,-10.0,,,,,,,10,10,2020-09-04,1,1,1,1,0
B66010,Avon Maitland DSB,Pub Dist Sch Brd (E/F),190527,Exeter Elementary School,Public,Not applicable,Elementary,English,JK-6,,,93 Victoria St E,South Huron,Exeter,Ontario,N0M1S1,519-235-2630,519-235-3700,http://www.avonmaitlandschools.ca/exeter/,http://blog.amdsb.ca,340,43.351240000000004,-81.4776,0,100,5,0,10,0,64%,-15.0,77%,-2.0,67%,-9.0,72%,-1.0,81%,10.0,43%,7.0,,,,,,,15,20,2020-09-04,1,1,1,0,0
B66010,Avon Maitland DSB,Pub Dist Sch Brd (E/F),953776,F E Madill Secondary School,Public,Not applicable,Secondary,English,9-12,,,231 Madill Dr,North Huron,Wingham,Ontario,N0G2W0,519-357-1800,519-357-4137,http://femadill.com/,http://blog.amdsb.ca,605,43.88247,-81.3064,3,100,0,0,26,1,,,,,,,,,,,,,69%,10.0,61%,13.0,75%,8.0,16,11,2020-09-04,0,0,0,1,1
B66010,Avon Maitland DSB,Pub Dist Sch Brd (E/F),181908,F. E. Madill Elementary,Public,Not applicable,Elementary,English,7-8,,,231 Madill Drive,North Huron,Wingham,Ontario,N0G2W0,519-357-1800,519-357-4137,http://femadill.com/,http://blog.amdsb.ca,175,43.8824,-81.3064,0,100,0,0,20,0,,,,,,,,,,,,,,,,,,,15,25,2020-09-04,0,0,0,1,0
