Municipality,Permit Number,Type of Building,Type of Work,Value of Construction,Units Created,Units Lost,Building Area,Approval Date,Extract Date
CAPE BRETON REGIONAL MUNICIPALITY,BD010017,110,03,"80,640",0,0,672,04/29/2019 12:00:00 AM,05/01/2019 08:33:08 AM
CAPE BRETON REGIONAL MUNICIPALITY,BD010014,110,03,"99,840",0,0,832,04/29/2019 12:00:00 AM,05/01/2019 08:33:08 AM
CAPE BRETON REGIONAL MUNICIPALITY,BD009975,110,03,"68,640",0,0,572,04/25/2019 12:00:00 AM,05/01/2019 08:33:08 AM
CAPE BRETON REGIONAL MUNICIPALITY,BD009938,110,03,"350,000",0,0,"1,008",03/29/2019 12:00:00 AM,05/01/2019 08:33:08 AM
CAPE BRETON REGIONAL MUNICIPALITY,BD009943,310,01,"329,520",2,0,"2,746",03/28/2019 12:00:00 AM,05/01/2019 08:33:08 AM
CAPE BRETON REGIONAL MUNICIPALITY,BD010002,310,03,"144,000",1,0,"1,200",04/30/2019 12:00:00 AM,05/01/2019 08:33:08 AM
CAPE BRETON REGIONAL MUNICIPALITY,BD009969,310,07,"15,000",1,0,950,04/15/2019 12:00:00 AM,05/01/2019 08:33:08 AM
CAPE BRETON REGIONAL MUNICIPALITY,BD009883,999,01,"403,200",1,0,"3,360",04/02/2019 12:00:00 AM,05/01/2019 08:33:08 AM
CAPE BRETON REGIONAL MUNICIPALITY,BD009926,999,99,"750,000",0,0,"6,627",04/02/2019 12:00:00 AM,05/01/2019 08:33:08 AM
CAPE BRETON REGIONAL MUNICIPALITY,BD009927,999,99,"300,000",0,0,"1,800",04/02/2019 12:00:00 AM,05/01/2019 08:33:08 AM
MUNICIPALITY OF THE COUNTY OF ANNAPOLIS,2019-076,100,03,"75,000",0,0,0,,05/01/2019 08:33:08 AM
MUNICIPALITY OF THE COUNTY OF ANNAPOLIS,2019-061,110,01,"100,000",1,0,0,04/25/2019 12:00:00 AM,05/01/2019 08:33:08 AM
MUNICIPALITY OF THE COUNTY OF ANNAPOLIS,2019-040,110,01,"225,000",1,0,"2,736",04/26/2019 12:00:00 AM,05/01/2019 08:33:08 AM
MUNICIPALITY OF THE COUNTY OF ANNAPOLIS,2019-016,110,01,"325,000",1,0,0,04/01/2019 12:00:00 AM,05/01/2019 08:33:08 AM
MUNICIPALITY OF THE COUNTY OF ANNAPOLIS,2019-047,110,03,"100,000",0,0,0,04/04/2019 12:00:00 AM,05/01/2019 08:33:08 AM
MUNICIPALITY OF THE COUNTY OF ANNAPOLIS,2019-054,150,01,"17,000",1,0,312,04/25/2019 12:00:00 AM,05/01/2019 08:33:08 AM
MUNICIPALITY OF THE COUNTY OF ANNAPOLIS,2019-059,150,01,"20,000",1,0,576,04/17/2019 12:00:00 AM,05/01/2019 08:33:08 AM
MUNICIPALITY OF THE COUNTY OF ANNAPOLIS,2019-046,150,09,0,1,0,0,04/25/2019 12:00:00 AM,05/01/2019 08:33:08 AM
MUNICIPALITY OF THE COUNTY OF ANTIGONISH,AT-C2019-024,100,01,"350,000",0,0,"3,072",04/16/2019 12:00:00 AM,05/01/2019 08:33:08 AM
MUNICIPALITY OF THE COUNTY OF ANTIGONISH,09-0230,100,01,"75,000",0,0,0,09/28/2009 12:00:00 AM,05/01/2019 08:33:08 AM
MUNICIPALITY OF THE COUNTY OF ANTIGONISH,09-0229,100,01,"75,000",0,0,0,09/28/2009 12:00:00 AM,05/01/2019 08:33:08 AM
MUNICIPALITY OF THE COUNTY OF ANTIGONISH,AT-C2019-025,100,01,"350,000",0,0,"3,124",04/16/2019 12:00:00 AM,05/01/2019 08:33:08 AM
MUNICIPALITY OF THE COUNTY OF ANTIGONISH,AT-C2019-022,100,01,"200,000",0,0,"1,392",04/16/2019 12:00:00 AM,05/01/2019 08:33:08 AM
MUNICIPALITY OF THE COUNTY OF ANTIGONISH,AT-C2019-028,100,01,"350,000",0,0,"3,072",04/16/2019 12:00:00 AM,05/01/2019 08:33:08 AM
MUNICIPALITY OF THE COUNTY OF ANTIGONISH,AT-B2019-033,100,01,"226,000",0,0,"1,344",04/25/2019 12:00:00 AM,05/01/2019 08:33:08 AM
MUNICIPALITY OF THE COUNTY OF ANTIGONISH,09-0231,100,01,"75,000",0,0,0,09/28/2009 12:00:00 AM,05/01/2019 08:33:08 AM
MUNICIPALITY OF THE COUNTY OF ANTIGONISH,AT-C2019-020,100,01,"200,000",0,0,"1,252",04/12/2019 12:00:00 AM,05/01/2019 08:33:08 AM
MUNICIPALITY OF THE COUNTY OF ANTIGONISH,AT-C2019-018,100,01,"450,000",0,0,"3,396",04/11/2019 12:00:00 AM,05/01/2019 08:33:08 AM
MUNICIPALITY OF THE COUNTY OF ANTIGONISH,AT-C2019-026,100,01,"350,000",0,0,"3,006",04/16/2019 12:00:00 AM,05/01/2019 08:33:08 AM
MUNICIPALITY OF THE COUNTY OF ANTIGONISH,AT-B2019-039,500,03,"532,243",0,0,0,04/26/2019 12:00:00 AM,05/01/2019 08:33:08 AM
MUNICIPALITY OF THE COUNTY OF COLCHESTER,13091,300,01,"780,000",4,0,"6,424",03/21/2019 12:00:00 AM,05/01/2019 08:33:08 AM
MUNICIPALITY OF THE COUNTY OF COLCHESTER,13093,999,01,"250,000",1,0,"1,024",03/26/2019 12:00:00 AM,05/01/2019 08:33:08 AM
MUNICIPALITY OF THE COUNTY OF COLCHESTER,13084,999,01,"325,000",1,0,"3,006",03/18/2019 12:00:00 AM,05/01/2019 08:33:08 AM
MUNICIPALITY OF THE COUNTY OF COLCHESTER,13085,999,01,"550,000",1,0,"3,006",03/19/2019 12:00:00 AM,05/01/2019 08:33:08 AM
MUNICIPALITY OF THE COUNTY OF INVERNESS,IN-B2019-048,100,01,"252,000",0,0,"1,537",04/09/2019 12:00:00 AM,05/01/2019 08:33:08 AM
MUNICIPALITY OF THE COUNTY OF INVERNESS,IN-B2019-038,100,01,"170,000",0,0,"1,449",04/01/2019 12:00:00 AM,05/01/2019 08:33:08 AM
MUNICIPALITY OF THE COUNTY OF INVERNESS,IN-B2019-040,100,03,"50,000",0,0,0,04/05/2019 12:00:00 AM,05/01/2019 08:33:08 AM
MUNICIPALITY OF THE COUNTY OF INVERNESS,IN-B2019-051,100,03,"55,000",0,0,0,04/17/2019 12:00:00 AM,05/01/2019 08:33:08 AM
MUNICIPALITY OF THE COUNTY OF INVERNESS,IN-B2019-049,100,03,"115,000",0,0,0,04/11/2019 12:00:00 AM,05/01/2019 08:33:08 AM
MUNICIPALITY OF THE COUNTY OF INVERNESS,IN-C2019-046,500,01,"450,000",0,0,0,04/23/2019 12:00:00 AM,05/01/2019 08:33:08 AM
MUNICIPALITY OF THE COUNTY OF PICTOU,PC-B2019-032,100,01,"232,000",0,0,"1,139",04/11/2019 12:00:00 AM,05/01/2019 08:33:08 AM
MUNICIPALITY OF THE COUNTY OF PICTOU,PC-B2019-038,100,01,"144,000",0,0,"1,800",04/11/2019 12:00:00 AM,05/01/2019 08:33:08 AM
MUNICIPALITY OF THE COUNTY OF PICTOU,PC-B2019-019,100,01,"210,000",0,0,"2,380",04/15/2019 12:00:00 AM,05/01/2019 08:33:08 AM
MUNICIPALITY OF THE COUNTY OF PICTOU,PC-B2019-035,100,01,"180,000",0,0,"1,702",04/11/2019 12:00:00 AM,05/01/2019 08:33:08 AM
MUNICIPALITY OF THE COUNTY OF PICTOU,PC-B2019-020,100,01,"125,000",0,0,"1,196",04/15/2019 12:00:00 AM,05/01/2019 08:33:08 AM
MUNICIPALITY OF THE COUNTY OF PICTOU,PC-B2019-040,100,01,"320,000",0,0,"2,534",04/16/2019 12:00:00 AM,05/01/2019 08:33:08 AM
MUNICIPALITY OF THE COUNTY OF RICHMOND,RI-B2019-026,100,15,"60,000",0,0,0,04/02/2019 12:00:00 AM,05/01/2019 08:33:08 AM
MUNICIPALITY OF THE COUNTY OF VICTORIA,2287,100,01,"250,000",0,0,0,04/16/2004 12:00:00 AM,05/01/2019 08:33:08 AM
MUNICIPALITY OF THE COUNTY OF VICTORIA,VI-B2019-025,100,01,"73,000",0,0,0,04/18/2019 12:00:00 AM,05/01/2019 08:33:08 AM
MUNICIPALITY OF THE COUNTY OF VICTORIA,VI-B2019-026,100,01,"73,000",0,0,0,04/18/2019 12:00:00 AM,05/01/2019 08:33:08 AM
MUNICIPALITY OF THE COUNTY OF VICTORIA,VI-B2019-023,100,03,"150,000",0,0,0,04/15/2019 12:00:00 AM,05/01/2019 08:33:08 AM
MUNICIPALITY OF THE COUNTY OF VICTORIA,VI-B2019-018,100,99,"126,000",0,0,0,04/02/2019 12:00:00 AM,05/01/2019 08:33:08 AM
MUNICIPALITY OF THE DISTRICT OF ARGYLE,2019-0033,999,01,"399,000",1,0,"1,892",04/17/2019 12:00:00 AM,05/01/2019 08:33:08 AM
MUNICIPALITY OF THE DISTRICT OF ARGYLE,2019-0029,999,05,"350,000",1,0,"4,250",04/16/2019 12:00:00 AM,05/01/2019 08:33:08 AM
MUNICIPALITY OF THE DISTRICT OF BARRINGTON,6474,110,01,"213,000",0,0,"1,288",04/08/2019 12:00:00 AM,05/01/2019 08:33:08 AM
MUNICIPALITY OF THE DISTRICT OF BARRINGTON,6487,110,01,"500,000",0,0,"2,174",04/26/2019 12:00:00 AM,05/01/2019 08:33:08 AM
MUNICIPALITY OF THE DISTRICT OF BARRINGTON,6431,110,01,"920,000",0,0,"4,196",11/13/2018 12:00:00 AM,05/01/2019 08:33:08 AM
MUNICIPALITY OF THE DISTRICT OF BARRINGTON,6480,110,03,"60,000",0,0,924,04/18/2019 12:00:00 AM,05/01/2019 08:33:08 AM
MUNICIPALITY OF THE DISTRICT OF BARRINGTON,6486,110,03,"50,000",0,0,0,04/25/2019 12:00:00 AM,05/01/2019 08:33:08 AM
MUNICIPALITY OF THE DISTRICT OF BARRINGTON,6469,410,03,"550,000",0,0,"5,700",04/01/2019 12:00:00 AM,05/01/2019 08:33:08 AM
MUNICIPALITY OF THE DISTRICT OF CHESTER,CM-B2019-044,100,01,"150,000",0,0,"2,016",04/24/2019 12:00:00 AM,05/01/2019 08:33:08 AM
MUNICIPALITY OF THE DISTRICT OF CHESTER,CM-B2019-041,100,01,"250,000",0,0,"1,861.2",04/02/2019 12:00:00 AM,05/01/2019 08:33:08 AM
MUNICIPALITY OF THE DISTRICT OF CHESTER,090005,100,01,"200,000",0,0,"2,184",01/15/2009 12:00:00 AM,05/01/2019 08:33:08 AM
MUNICIPALITY OF THE DISTRICT OF CHESTER,-12748,100,01,"165,000",0,0,"3,000",07/30/1991 12:00:00 AM,05/01/2019 08:33:08 AM
MUNICIPALITY OF THE DISTRICT OF CHESTER,-68182,100,03,"125,000",0,0,"2,070",07/05/2006 12:00:00 AM,05/01/2019 08:33:08 AM
MUNICIPALITY OF THE DISTRICT OF CHESTER,CM-B2019-035,100,03,"50,000",0,0,280,04/02/2019 12:00:00 AM,05/01/2019 08:33:08 AM
MUNICIPALITY OF THE DISTRICT OF CLARE,C2019-036,100,01,"100,000",0,0,780,04/16/2019 12:00:00 AM,05/01/2019 08:33:08 AM
MUNICIPALITY OF THE DISTRICT OF CLARE,C2019-033,100,01,"303,680",0,0,"3,796",04/15/2019 12:00:00 AM,05/01/2019 08:33:08 AM
MUNICIPALITY OF THE DISTRICT OF CLARE,B2019-039,100,03,"115,000",0,0,0,04/18/2019 12:00:00 AM,05/01/2019 08:33:08 AM
MUNICIPALITY OF THE DISTRICT OF CLARE,B2019-041,100,03,"60,000",0,0,0,04/23/2019 12:00:00 AM,05/01/2019 08:33:08 AM
MUNICIPALITY OF THE DISTRICT OF EAST HANTS,C2019-041,100,01,"300,000",0,0,266.58,04/30/2019 12:00:00 AM,05/01/2019 08:33:08 AM
MUNICIPALITY OF THE DISTRICT OF EAST HANTS,C2018-237,100,01,"120,000",0,0,104.79,04/25/2019 12:00:00 AM,05/01/2019 08:33:08 AM
MUNICIPALITY OF THE DISTRICT OF EAST HANTS,C2019-032,100,01,"327,000",0,0,163,04/29/2019 12:00:00 AM,05/01/2019 08:33:08 AM
MUNICIPALITY OF THE DISTRICT OF EAST HANTS,C2019-029,100,01,"350,000",0,0,238,04/08/2019 12:00:00 AM,05/01/2019 08:33:08 AM
MUNICIPALITY OF THE DISTRICT OF EAST HANTS,C2019-017,100,01,"300,000",0,0,392,04/08/2019 12:00:00 AM,05/01/2019 08:33:08 AM
MUNICIPALITY OF THE DISTRICT OF EAST HANTS,C2019-030,100,03,"250,000",0,0,0,04/05/2019 12:00:00 AM,05/01/2019 08:33:08 AM
MUNICIPALITY OF THE DISTRICT OF GUYSBOROUGH,C2019-019,100,01,"100,000",0,0,960,04/03/2019 12:00:00 AM,05/01/2019 08:33:08 AM
MUNICIPALITY OF THE DISTRICT OF GUYSBOROUGH,C2019-023,100,01,"255,000",0,0,"1,260",04/29/2019 12:00:00 AM,05/01/2019 08:33:08 AM
MUNICIPALITY OF THE DISTRICT OF GUYSBOROUGH,C2019-016,100,01,"350,000",0,0,"1,464",04/02/2019 12:00:00 AM,05/01/2019 08:33:08 AM
MUNICIPALITY OF THE DISTRICT OF SHELBURNE,20190020,100,01,"70,000",0,0,600,04/08/2019 12:00:00 AM,05/01/2019 08:33:08 AM
MUNICIPALITY OF THE DISTRICT OF SHELBURNE,20190013,110,03,"300,000",0,0,0,03/21/2019 12:00:00 AM,05/01/2019 08:33:08 AM
MUNICIPALITY OF THE DISTRICT OF ST. MARY'S,C2019-022,100,01,"300,000",0,0,"1,344",04/24/2019 12:00:00 AM,05/01/2019 08:33:08 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,C2019-045,100,01,"150,000",0,0,"1,440",04/04/2019 12:00:00 AM,05/01/2019 08:33:08 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,106-WH-04,100,01,"100,000",0,0,0,05/31/2004 12:00:00 AM,05/01/2019 08:33:08 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,009-WH-04,100,01,"60,000",0,0,0,01/23/2004 12:00:00 AM,05/01/2019 08:33:08 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,C2019-022,100,01,"180,000",0,0,"1,388",04/12/2019 12:00:00 AM,05/01/2019 08:33:08 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,C2019-066,100,01,"150,000",0,0,"1,080",04/25/2019 12:00:00 AM,05/01/2019 08:33:08 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,C2019-056,100,01,"105,000",0,0,"1,184",04/29/2019 12:00:00 AM,05/01/2019 08:33:08 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,B2019-041,100,03,"100,000",0,0,0,04/01/2019 12:00:00 AM,05/01/2019 08:33:08 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,C2019-053,100,03,"70,000",0,0,224,04/15/2019 12:00:00 AM,05/01/2019 08:33:08 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,C2019-065,100,03,"75,000",0,0,538,04/29/2019 12:00:00 AM,05/01/2019 08:33:08 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,C2019-032,410,01,"250,000",0,0,"14,000",04/16/2019 12:00:00 AM,05/01/2019 08:33:08 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,C2019-029,410,03,"10,000,000",0,0,"11,130",04/09/2019 12:00:00 AM,05/01/2019 08:33:08 AM
TOWN OF AMHERST,C2019-023,100,01,"350,000",0,0,274.88,04/29/2019 12:00:00 AM,05/01/2019 08:33:08 AM
TOWN OF ANNAPOLIS ROYAL,AR19-007,610,03,"260,000",0,0,0,03/21/2019 12:00:00 AM,05/01/2019 08:33:08 AM
TOWN OF ANTIGONISH,TA-B2019-015,500,03,"525,000",0,0,0,04/23/2019 12:00:00 AM,05/01/2019 08:33:08 AM
TOWN OF ANTIGONISH,TA-C2019-007,500,03,"339,403",0,0,0,04/01/2019 12:00:00 AM,05/01/2019 08:33:08 AM
TOWN OF ANTIGONISH,TA-C2019-012,600,03,"3,000,000",0,0,0,04/15/2019 12:00:00 AM,05/01/2019 08:33:08 AM
TOWN OF BRIDGEWATER,C2019-034,100,01,"146,625",0,0,0,04/25/2019 12:00:00 AM,05/01/2019 08:33:08 AM
TOWN OF BRIDGEWATER,C2019-030,100,01,"280,000",0,0,0,04/17/2019 12:00:00 AM,05/01/2019 08:33:08 AM
TOWN OF BRIDGEWATER,B2019-028,100,03,"161,000",0,0,0,04/10/2019 12:00:00 AM,05/01/2019 08:33:08 AM
TOWN OF BRIDGEWATER,B2019-025,100,03,"250,000",0,0,0,04/05/2019 12:00:00 AM,05/01/2019 08:33:08 AM
TOWN OF BRIDGEWATER,C2019-024,500,03,"750,000",0,0,0,04/11/2019 12:00:00 AM,05/01/2019 08:33:08 AM
TOWN OF DIGBY,DB-B2019-006,100,01,"145,000",0,0,"1,380",04/17/2019 12:00:00 AM,05/01/2019 08:33:08 AM
TOWN OF DIGBY,DB-B2019-005,100,03,"250,000",0,0,0,04/09/2019 12:00:00 AM,05/01/2019 08:33:08 AM
TOWN OF DIGBY,DB-B2019-003,100,03,"60,000",0,0,864,04/05/2019 12:00:00 AM,05/01/2019 08:33:08 AM
TOWN OF MAHONE BAY,MB-B2019-005,100,01,"350,000",0,0,"2,198",04/10/2019 12:00:00 AM,05/01/2019 08:33:08 AM
TOWN OF MIDDLETON,M19-003,520,03,"360,000",0,0,"6,000",04/29/2019 12:00:00 AM,05/01/2019 08:33:08 AM
TOWN OF NEW GLASGOW,NG-C2019-008,100,01,"420,000",0,0,0,04/10/2019 12:00:00 AM,05/01/2019 08:33:08 AM
TOWN OF NEW GLASGOW,NG-B2019-007,500,03,"400,000",0,0,0,04/10/2019 12:00:00 AM,05/01/2019 08:33:08 AM
TOWN OF SHELBURNE,20190017,110,01,"100,000",0,0,0,03/29/2019 12:00:00 AM,05/01/2019 08:33:08 AM
TOWN OF TRURO,C023-2019,100,01,"203,000",0,0,960,04/12/2019 12:00:00 AM,05/01/2019 08:33:08 AM
TOWN OF TRURO,C036-2019,100,03,"50,000",0,0,0,04/26/2019 12:00:00 AM,05/01/2019 08:33:08 AM
TOWN OF TRURO,C018-2019,400,03,"332,900",0,0,0,04/04/2019 12:00:00 AM,05/01/2019 08:33:08 AM
TOWN OF WINDSOR,009-W-19,500,03,"400,000",0,0,0,03/26/2019 12:00:00 AM,05/01/2019 08:33:08 AM
TOWN OF WINDSOR,008-W-19,500,03,"300,000",0,0,0,03/19/2019 12:00:00 AM,05/01/2019 08:33:08 AM
TOWN OF YARMOUTH,C2019-036,100,99,"50,000",0,0,0,04/12/2019 12:00:00 AM,05/01/2019 08:33:08 AM
CAPE BRETON REGIONAL MUNICIPALITY,B009921,100,03,"50,000",0,0,0,03/15/2019 12:00:00 AM,04/01/2019 07:30:48 AM
CAPE BRETON REGIONAL MUNICIPALITY,B009895,100,03,"125,413.8",0,0,0,03/04/2019 12:00:00 AM,04/01/2019 07:30:48 AM
CAPE BRETON REGIONAL MUNICIPALITY,B009905,100,03,"57,084.35",0,0,0,03/07/2019 12:00:00 AM,04/01/2019 07:30:48 AM
CAPE BRETON REGIONAL MUNICIPALITY,BD009915,110,01,"189,600",1,0,"1,580",03/15/2019 12:00:00 AM,04/01/2019 07:30:48 AM
CAPE BRETON REGIONAL MUNICIPALITY,BD009911,110,01,"299,160",1,0,"2,493",03/13/2019 12:00:00 AM,04/01/2019 07:30:48 AM
CAPE BRETON REGIONAL MUNICIPALITY,BD009914,110,01,"178,560",1,0,"1,488",03/14/2019 12:00:00 AM,04/01/2019 07:30:48 AM
CAPE BRETON REGIONAL MUNICIPALITY,BD009881,110,01,"288,000",1,0,"2,400",02/13/2019 12:00:00 AM,04/01/2019 07:30:48 AM
CAPE BRETON REGIONAL MUNICIPALITY,BD009898,110,01,"300,000",1,0,"2,500",03/04/2019 12:00:00 AM,04/01/2019 07:30:48 AM
CAPE BRETON REGIONAL MUNICIPALITY,BD009908,110,01,"168,000",1,0,"1,400",03/14/2019 12:00:00 AM,04/01/2019 07:30:48 AM
CAPE BRETON REGIONAL MUNICIPALITY,BD009894,110,03,"87,360",0,0,728,03/04/2019 12:00:00 AM,04/01/2019 07:30:48 AM
CAPE BRETON REGIONAL MUNICIPALITY,BD009907,110,09,"50,000",1,0,728,03/20/2019 12:00:00 AM,04/01/2019 07:30:48 AM
CAPE BRETON REGIONAL MUNICIPALITY,B009901,999,03,"343,969",0,0,0,03/05/2019 12:00:00 AM,04/01/2019 07:30:48 AM
MUNICIPALITY OF THE COUNTY OF INVERNESS,IN-B2019-030,100,01,"200,000",0,0,"1,150",03/01/2019 12:00:00 AM,04/01/2019 07:30:48 AM
MUNICIPALITY OF THE COUNTY OF INVERNESS,IN-B2019-031,100,15,"125,000",0,0,0,03/11/2019 12:00:00 AM,04/01/2019 07:30:48 AM
MUNICIPALITY OF THE COUNTY OF INVERNESS,IN-B2019-018,600,03,"400,000",0,0,0,03/01/2019 12:00:00 AM,04/01/2019 07:30:48 AM
MUNICIPALITY OF THE COUNTY OF PICTOU,PC-B2019-018,100,01,"1,750,000",0,0,"4,945",03/04/2019 12:00:00 AM,04/01/2019 07:30:48 AM
MUNICIPALITY OF THE COUNTY OF PICTOU,PC-B2019-026,100,01,"250,000",0,0,"1,380",03/25/2019 12:00:00 AM,04/01/2019 07:30:48 AM
MUNICIPALITY OF THE COUNTY OF PICTOU,PC-B2019-027,100,01,"250,000",0,0,"1,700",03/28/2019 12:00:00 AM,04/01/2019 07:30:48 AM
MUNICIPALITY OF THE COUNTY OF PICTOU,PC-B2019-025,100,01,"250,000",0,0,"1,936",03/28/2019 12:00:00 AM,04/01/2019 07:30:48 AM
MUNICIPALITY OF THE COUNTY OF PICTOU,PC-B2019-028,100,01,"250,000",0,0,"2,100",03/28/2019 12:00:00 AM,04/01/2019 07:30:48 AM
MUNICIPALITY OF THE COUNTY OF PICTOU,PC-B2019-024,500,03,"400,000",0,0,0,03/19/2019 12:00:00 AM,04/01/2019 07:30:48 AM
MUNICIPALITY OF THE COUNTY OF RICHMOND,RI-B2019-013,100,01,"150,000",0,0,"1,352",03/11/2019 12:00:00 AM,04/01/2019 07:30:48 AM
MUNICIPALITY OF THE COUNTY OF RICHMOND,RI-C2019-021,100,01,"320,000",0,0,"2,208",03/29/2019 12:00:00 AM,04/01/2019 07:30:48 AM
MUNICIPALITY OF THE COUNTY OF RICHMOND,RI-C2019-014,100,01,"155,000",0,0,"1,680",03/07/2019 12:00:00 AM,04/01/2019 07:30:48 AM
MUNICIPALITY OF THE COUNTY OF RICHMOND,RI-C2019-016,100,01,"111,000",0,0,600,03/11/2019 12:00:00 AM,04/01/2019 07:30:48 AM
MUNICIPALITY OF THE COUNTY OF RICHMOND,RI-C2019-015,100,15,"95,000",0,0,0,03/07/2019 12:00:00 AM,04/01/2019 07:30:48 AM
MUNICIPALITY OF THE COUNTY OF VICTORIA,NVI-032-10,100,01,"240,000",0,0,0,05/18/2010 12:00:00 AM,04/01/2019 07:30:48 AM
MUNICIPALITY OF THE COUNTY OF VICTORIA,VI-B2019-010,100,03,"100,000",0,0,0,03/13/2019 12:00:00 AM,04/01/2019 07:30:48 AM
MUNICIPALITY OF THE COUNTY OF VICTORIA,VI-B2019-012,100,99,"130,340",0,0,0,03/19/2019 12:00:00 AM,04/01/2019 07:30:48 AM
MUNICIPALITY OF THE DISTRICT OF ARGYLE,2019-0020,999,01,"375,000",1,0,"3,120",03/18/2019 12:00:00 AM,04/01/2019 07:30:48 AM
MUNICIPALITY OF THE DISTRICT OF ARGYLE,2019-0015,999,01,"400,000",1,0,"1,930",03/07/2019 12:00:00 AM,04/01/2019 07:30:48 AM
MUNICIPALITY OF THE DISTRICT OF ARGYLE,2019-0023,999,01,"350,000",1,0,"2,660",03/14/2019 12:00:00 AM,04/01/2019 07:30:48 AM
MUNICIPALITY OF THE DISTRICT OF BARRINGTON,6461,410,03,"1,500,000",0,0,"8,670",03/05/2019 12:00:00 AM,04/01/2019 07:30:48 AM
MUNICIPALITY OF THE DISTRICT OF CHESTER,CM-B2019-027,100,01,"300,000",0,0,"3,584",03/20/2019 12:00:00 AM,04/01/2019 07:30:48 AM
MUNICIPALITY OF THE DISTRICT OF CHESTER,-71369,100,01,"64,680",0,0,"1,176",09/04/1987 12:00:00 AM,04/01/2019 07:30:48 AM
MUNICIPALITY OF THE DISTRICT OF CHESTER,-71378,100,01,"61,875",0,0,936,08/15/1988 12:00:00 AM,04/01/2019 07:30:48 AM
MUNICIPALITY OF THE DISTRICT OF CHESTER,070111,100,01,"122,000",0,0,"1,115.4",06/07/2007 12:00:00 AM,04/01/2019 07:30:48 AM
MUNICIPALITY OF THE DISTRICT OF CHESTER,-71377,100,01,"60,000",0,0,"1,092",09/01/1987 12:00:00 AM,04/01/2019 07:30:48 AM
MUNICIPALITY OF THE DISTRICT OF CHESTER,-71382,100,01,"62,920",0,0,"1,144",09/09/1987 12:00:00 AM,04/01/2019 07:30:48 AM
MUNICIPALITY OF THE DISTRICT OF CHESTER,-71333,100,01,"91,520",0,0,"1,664",08/31/1987 12:00:00 AM,04/01/2019 07:30:48 AM
MUNICIPALITY OF THE DISTRICT OF CHESTER,CM-B2019-003,100,01,"180,000",0,0,630,01/14/2019 12:00:00 AM,04/01/2019 07:30:48 AM
MUNICIPALITY OF THE DISTRICT OF CHESTER,CM-B2019-010,100,03,"80,000",0,0,0,02/07/2019 12:00:00 AM,04/01/2019 07:30:48 AM
MUNICIPALITY OF THE DISTRICT OF CHESTER,CM-B2019-018,100,03,"200,000",0,0,"1,750",02/28/2019 12:00:00 AM,04/01/2019 07:30:48 AM
MUNICIPALITY OF THE DISTRICT OF CHESTER,-71374,100,03,"69,575",0,0,632,09/10/1987 12:00:00 AM,04/01/2019 07:30:48 AM
MUNICIPALITY OF THE DISTRICT OF CHESTER,CM-B2019-021,100,03,"100,000",0,0,0,03/20/2019 12:00:00 AM,04/01/2019 07:30:48 AM
MUNICIPALITY OF THE DISTRICT OF CHESTER,080199,100,03,"65,000",0,0,816,09/03/2008 12:00:00 AM,04/01/2019 07:30:48 AM
MUNICIPALITY OF THE DISTRICT OF CHESTER,080029,100,03,"100,000",0,0,225,03/26/2008 12:00:00 AM,04/01/2019 07:30:48 AM
MUNICIPALITY OF THE DISTRICT OF CHESTER,CM-B2019-024,100,15,"75,000",0,0,"2,400",03/19/2019 12:00:00 AM,04/01/2019 07:30:48 AM
MUNICIPALITY OF THE DISTRICT OF CLARE,C2019-024,100,01,"500,000",0,0,"6,518",03/21/2019 12:00:00 AM,04/01/2019 07:30:48 AM
MUNICIPALITY OF THE DISTRICT OF CLARE,C2019-021,100,01,"80,000",0,0,"1,040",03/12/2019 12:00:00 AM,04/01/2019 07:30:48 AM
MUNICIPALITY OF THE DISTRICT OF CLARE,C2019-016,100,03,"75,000",0,0,192,03/26/2019 12:00:00 AM,04/01/2019 07:30:48 AM
MUNICIPALITY OF THE DISTRICT OF EAST HANTS,070321,100,01,"267,200",0,0,287.99,11/21/2007 12:00:00 AM,04/01/2019 07:30:48 AM
MUNICIPALITY OF THE DISTRICT OF EAST HANTS,C2010-098,100,01,"50,000",0,0,77.76,06/03/2010 12:00:00 AM,04/01/2019 07:30:48 AM
MUNICIPALITY OF THE DISTRICT OF EAST HANTS,080321,100,01,"200,000",0,0,235.41,11/18/2008 12:00:00 AM,04/01/2019 07:30:48 AM
MUNICIPALITY OF THE DISTRICT OF EAST HANTS,080241,100,01,"225,000",0,0,341.13,09/12/2008 12:00:00 AM,04/01/2019 07:30:48 AM
MUNICIPALITY OF THE DISTRICT OF EAST HANTS,C2019-024,100,03,"68,425",0,0,67.84,03/27/2019 12:00:00 AM,04/01/2019 07:30:48 AM
