OPERATOR_NAME,BUSINESS_NAME,TYPE,STREET_ADDRESS,CITY,POSTAL_CODE,BUSINESS_PHONE,INSPECTION_URL,GOVERNING_ACT,GOVERNING_REGULATION,HEALTH_AUTHORITY,MENTAL_HEALTH,MENTAL_HEALTH_MAX_CAP,HOSPICE,HOSPICE_MAX_CAP,SUBSTANCE_USE,SUBSTANCE_USE_MAX_CAP,LONG_TERM_CARE,LONG_TERM_CARE_MAX_CAP,COMMUNITY_LIVING,COMMUNITY_LIVING_MAX_CAP,ACQUIRED_BRAIN_INJURY,ACQUIRED_BRAIN_INJURY_MAX_CAP,LONGITUDE,LATITUDE
"MPA - Motivation, Power & Achievement Society",Tilikum House,Mental Health,3126 Grandview Hwy ,Vancouver,V5M 2E8,(604) 419-1883,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,Y,6,N,,N,,N,,N,,N,,-123.0383714,49.2578371
M. Kopernik (Nicolaus Copernicus) Foundation,Kopernik Lodge,Long Term Care,3150 Rosemont Dr ,Vancouver,V5S 2C9,(604) 438-2474,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,Y,88,N,,N,,-123.0391962,49.2154568
Community Living Society,East Keith Road House,Community Living,317 Keith Road E ,North Vancouver,V7L 1V6,604-980-4849,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,3,N,,-123.0670847,49.3136203
Vancouver Coastal Health Authority,North Shore Hospice,Hospice,319 14th St E ,North Vancouver,V7L 2N6,604-904-6178,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,Y,15,N,,N,,N,,N,,-123.0649066,49.3206496
Amica Lions Gate Inc,Amica at Edgemont Village,Long Term Care,3225 Highland Blvd ,North Vancouver,V7R 0A3,(604) 929-6361,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,Y,40,N,,N,,-123.1009669,49.3385374
VRS Communities Society,East 36th House,Acquired Injury,325 E 36th Ave ,Vancouver,V5W 1C5,(604) 321-1661,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,N,,Y,4,-123.0986843,49.2383527
Cascadia Society for Social Working,Kaspar House,Community Living,325 W 19th St ,North Vancouver,V7M 1X7,(604) 988-3970,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,4,N,,-123.0797408,49.3260052
Calling Foundation,Blenheim Lodge,Long Term Care,3263 Blenheim St ,Vancouver,V6L 2X7,(604) 732-8717,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,Y,98,N,,N,,-123.1791189,49.2572761
Little Mountain Residential Care and Housing Society,Little Mountain Place,Long Term Care,330 E 36th Ave ,Vancouver,V5W 3Z4,(604) 325-2298,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,Y,117,N,,N,,-123.0998532,49.2376635
Coast Mental Health,Journeys,Mental Health,3318 E 2nd Ave ,Vancouver,V5M 1G5,(604) 254-5538,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,Y,10,N,,N,,N,,N,,N,,-123.0330655,49.2682034
The Bloom Group Community Services Society,May's Place,Hospice,333 Powell St ,Vancouver,V6A 1G5,(604) 606-0380,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,Y,6,N,,N,,N,,N,,-123.0968604,49.2831721
Vancouver Coastal Health,Vista,Mental Health,3360 Fleming St ,Vancouver,V5N 3V5,(604) 736-9931,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,Y,10,N,,N,,N,,N,,N,,-123.0709056,49.2548939
Developmental Disabilities Association of Vancouver-Richmond,Charles Street Group Home,Community Living,3363 Charles St ,Vancouver,V5K 3C3,(604) 251-1701,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,5,N,,-123.0314326,49.2735361
Developmental Disabilities Association of Vancouver-Richmond,3381 Worthington,Community Living,3381 Worthington Dr ,Vancouver,V5M 3X8,(604) 432-9377,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,5,N,,-123.0327623,49.2551157
VRS Communities Society,Tanner House,Acquired Injury,3402 E 29th Ave ,Vancouver,V5R 1W7,(604) 436-3894,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,N,,Y,5,-123.0313165,49.2442212
Coast Foundation Society (1974),Renfrew House,Mental Health,3402 Worthington Dr ,Vancouver,V5M 3X8,(604) 437-5587,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,Y,8,N,,N,,N,,N,,N,,-123.0301071,49.254322
Greater Vancouver Community Services Society,Mount Seymour Parkway House,Community Living,3403 Mt Seymour Pkwy ,North Vancouver,V7H 1G4,(604) 929-3238,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,4,N,,-122.9773545,49.3153533
Coast Mental Health,Coast West,Mental Health,3436 W 3rd Ave ,Vancouver,V6R 1L5,(604) 733-0504,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,Y,12,N,,N,,N,,N,,N,,-123.1806513,49.2694106
Cathryn Helen Jordan,Grief Point Residence,Community Living,3463 Marine Avenue ,Powell River,V8A 2H4,604-485-2468,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,5,N,,-124.523903,49.8094775
The Bloom Group Community Services Society,Victory House,Mental Health,353 E Cordova St ,Vancouver,V6A 1L4,(604) 606-0331,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,Y,47,N,,N,,N,,N,,N,,-123.096363,49.2824812
posAbilities Association of BC,Lakeside House,Community Living,3597 Gladstone St ,Vancouver,V5N 4Y8,(604) 874-5838,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,6,N,,-123.0604877,49.250461
Greater Vancouver Community Services Society,Fourth And Alma,Community Living,3625 W 4th Ave ,Vancouver,V6R 1P2,(604) 731-4304,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,4,N,,-123.1845142,49.2688649
L & T Services Ltd.,Collingwood House,Acquired Injury,3626 Monmouth Ave ,Vancouver,V5R 5S3,(604) 454-0637,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,N,,Y,11,-123.026247,49.2393253
Community Living Society,Norwood House,Community Living,3636 Norwood Ave ,North Vancouver,V7N 3P7,604-986-0718,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,3,N,,-123.0767595,49.3429472
Community Living Society,Maginnis Avenue,Community Living,3660 Maginnis Avenue ,North Vancouver,V7K 2L6,604-983-3660,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,4,N,,-123.034142,49.342687
VRS Communities Society,West 63rd Home,Community Living,369 W 63rd Ave ,Vancouver,V5X 2J1,(604) 322-0994,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,5,N,,-123.1139356,49.2134497
Sea to Sky Community Services,Newport House,Community Living,37948 3rd Ave ,Squamish,V8B 0A7,(604) 892-6336,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,4,N,,-123.156384,49.6982341
Vancouver Coastal Health Authority,Whistler Blackcomb Sea to Sky Community Hospice,Hospice,38146 Behrner Dr ,Squamish,V8B 0C8,(604) 892-9337,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,Y,4,N,,N,,N,,N,,-123.1405798,49.6986038
Vancouver Coastal Health Authority,Hilltop House,Long Term Care,38146 Behrner Dr ,Squamish,V8B 0C8,(604) 892-9337,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,Y,86,N,,N,,-123.1405798,49.6986038
Sea to Sky Community Services,Harmony House,Community Living,38183 Guilford Dr ,Squamish,V8B 0X4,(604) 567-8288,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,4,N,,-123.1307199,49.6983807
Saint Elizabeth Health Care,Khyaht Ayahm,Community Living,3895 Phyllis Rd ,North Vancouver,V7K 2T7,(604) 980-0765,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,4,N,,-123.0237407,49.3445718
North Shore Disability Resource Centre ,Loraine Avenue,Community Living,3908 Loraine Ave ,North Vancouver,V7R 4B8,(604) 984-6190,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,4,N,,-123.1065884,49.3445872
Inclusion Powell River Society,Joyce Avenue Residence,Community Living,4000 Joyce Avenue ,Powell River,V8A 2Z5,604-485-4567,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,4,N,,-124.5201111,49.8240785
Coast Foundation - AP Department,Birchwood House,Mental Health,4002 Maple Crescent ,Vancouver, V6J 4B2,(604) 733-8276,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,Y,10,N,,N,,N,,N,,N,,-123.1513116,49.2504475
North Shore Disability Resource Centre ,Shone House,Community Living,4060 Shone Rd ,North Vancouver,V7G 2N4,(604) 924-1963,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,5,N,,-122.9593032,49.318792
VRS Communities Society,Carolina House,Acquired Injury,4096 Carolina St ,Vancouver,V5V 4B7,(604) 874-5433,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,N,,Y,5,-123.0917117,49.2488301
"MPA - Motivation, Power & Achievement Society",Banyan House,Mental Health,4134 Rupert St ,Vancouver,V5R 2H4,(604) 451-3441,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,Y,6,N,,N,,N,,N,,N,,-123.0333789,49.24762
City Centre Care Society,Central City Lodge,Long Term Care,415 W Pender St ,Vancouver,V6B 1V2,(604) 681-9111,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,Y,100,N,,N,,-123.1119351,49.2831331
Inclusion Powell River Society,Scotia Place,Community Living,4314 Scotia Place ,Powell River,V8A 2X2,(604) 485-0925,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,4,N,,-124.5216544,49.8326712
Care Pacific Holdings Ltd.,OPAL by Element,Long Term Care,438 W King Edward Ave ,Vancouver,V5Y 2J4,(778) 488-0637,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,Y,31,N,,N,,-123.1133124,49.2486447
North Shore Connexions Society,Capilano House,Community Living,4410 Capilano Road ,North Vancouver,V7R 4J9,(604) 980-5117,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,6,N,,-123.1072561,49.3510806
Richmond Society for Community Living,Muscroft House,Community Living,4433 Francis Rd ,Richmond,V7C 1J8,(604) 275-2390,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,5,N,,-123.1746239,49.1486039
Vancouver Coastal Health,Chapman House,Mental Health,4491 Sunshine Coast Highway ,Sechelt,V0N 3A1,604-885-3632,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,Y,6,N,,N,,N,,N,,N,,-123.7179765,49.4405122
,Capilano Road,Community Living,4537 Capilano Rd North ,Vancouver,V7R 4K2,604-980-3582,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,4,N,,-123.1074121,49.3532103
Inclusion Powell River Society,Golden Avenue Residence,Community Living,4574 Golden Avenue ,Powell River,V8A 2X5,604-485-0358,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,4,N,,-124.5216509,49.8396688
posAbilities Association of BC,38th Avenue Group Home,Community Living,461 E 38th Ave ,Vancouver,V5W 1H8,(604) 322-9001,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,4,N,,-123.0949439,49.2364685
Vancouver Hospice Society,Vancouver Hospice,Hospice,4615 Granville St ,Vancouver,V6H 3M1,(604) 737-3339,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,Y,8,N,,N,,N,,N,,-123.1397858,49.2442606
Inclusion Powell River Society,Redonda Crescent Residence,Community Living,4728 Redonda Avenue ,Powell River,V8A 5C9,604-485-7948,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,4,N,,-124.5131271,49.8440055
posAbilities Association of BC,Broadway House,Community Living,4755 Victoria Dr ,Vancouver,V5N 4P2,(604) 872-7796,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,5,N,,-123.0656713,49.2421166
Greater Vancouver Community Services Society,GVCSS - Williams Road Home,Community Living,4811 Williams Rd ,Richmond,V7E 1J7,(604) 275-2489,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,6,N,,-123.1724487,49.1413308
"MPA - Motivation, Power & Achievement Society",Sophia House,Mental Health,4824 Sophia St ,Vancouver,V5V 3W6,(604) 876-7461,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,Y,6,N,,N,,N,,N,,N,,-123.0982494,49.2415748
Greater Vancouver Community Services Society,Railway House,Mental Health,4851 Francis Rd ,Richmond,V7C 4R5,(604) 370-5875,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,Y,10,N,,N,,N,,N,,N,,-123.1705359,49.1486767
Coast Foundation Society (1974) ,Shaw Place,Mental Health,488 E 41st Ave ,Vancouver,V5W 1P2,(604) 322-4678,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,Y,6,N,,N,,N,,N,,N,,-123.0949923,49.2326234
Cathryn Helen Jordan,Bowness Residence,Community Living,4909 Bowness Avenue ,Powell River,V8A 3S6,604-485-2291,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,5,N,,-124.5073983,49.8491442
Providence Health Care,Youville Residence,Long Term Care,4950 Heather St ,Vancouver,V5Z 3L9,(604) 806-9640,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,Y,42,N,,N,,-123.1198493,49.2404603
Vancouver Coastal Health,Willingdon Creek Village,Long Term Care,4980 Kiwanis Avenue ,Powell River,V8A 5H5,(604) 485-9868,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,Y,102,N,,N,,-124.5187515,49.8497932
Coast Foundation - AP Department,Camille House,Mental Health,5 W 15th Ave ,Vancouver,V5Y 1X7,(604) 675-3502,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,Y,10,N,,N,,N,,N,,N,,-123.1054368,49.2577745
